SIGNIFICANT TEMPERATURE AND HUMIDITY LEVELS
-------------------------------------------
          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time   Type
            hPa             °C              %              m            m/s              °              s
---------------------------------------------------------------------------------------------------------
         972.50          -1.20          57.00            0.0            2.0             90            0.0   T+H
         970.13          +0.56          57.75           34.6            6.4            252            8.0   T
         920.76          -1.82          45.90          456.5            9.2            267          104.0   T
         842.74          -7.84          50.40         1144.5           12.5            254          263.0   H
         721.09         -18.36          84.45         2328.0           13.9            247          554.0   T
         713.41         -18.90          85.40         2407.1           15.7            248          581.0   H
         665.02         -21.98          55.81         2926.2           16.0            249          814.0   T
         612.20         -27.12          47.77         3527.1           15.8            243          999.0   H
         458.20         -45.58          69.85         5537.4           12.4            210         1433.0   H
         387.49         -56.16          60.89         6620.4            8.0            197         1668.0   T
         345.72         -60.44          56.03         7333.7           14.6            238         1843.0   T
         340.83         -58.41          50.77         7424.8           13.4            246         1869.0   T
         318.44         -59.67          42.88         7851.2           16.8            256         1996.0   T
         291.03         -57.03          36.42         8413.8           17.8            236         2193.0   T
         281.66         -58.08          33.22         8620.6           12.4            235         2253.0   T
         276.75         -56.69          33.69         8730.5            9.4            239         2284.0   T
         251.75         -59.50          30.63         9324.2           15.3            247         2447.0   T
         216.51         -58.17          26.08        10266.9           16.4            264         2726.0   H
         213.01         -57.55          27.18        10368.4           16.1            267         2749.0   T
         190.14         -60.25          25.72        11070.7           22.1            263         2932.0   T
         175.03         -59.99          24.73        11589.6           21.1            263         3056.0   T
         167.69         -57.39          25.11        11853.6           23.5            260         3119.0   T
         153.39         -56.07          23.43        12411.7           25.5            262         3284.0   T
         142.54         -56.90          22.91        12873.6           25.4            268         3389.0   T
         135.85         -54.77          22.77        13175.5           26.6            273         3471.0   T
         121.05         -54.98          19.84        13907.7           25.6            279         3667.0   T
         102.43         -56.70          18.54        14953.6           31.1            269         3912.0   T
          70.24         -54.68          14.68        17304.8           42.4            273         4510.0   T
          63.73         -58.18          14.08        17900.9           40.9            280         4626.0   T
          58.35         -56.48          13.19        18451.8           44.6            278         4788.0   T
          41.71         -62.09          13.11        20481.2           49.3            276         5244.0   T
          31.80         -61.50          15.22        22114.9           58.0            272         5590.0   T
          24.22         -65.68          13.07        23687.0           66.8            271         5893.0   T
          23.56         -61.45          11.06        23851.7           68.0            269         5976.0   T
          22.72         -60.88          12.84        24078.4           65.3            269         6036.0   T
          19.21         -64.07          16.39        25058.7           72.5            269         6170.0   T
          16.31         -61.29          15.84        26022.0           68.9            273         6387.0   T
          11.45         -66.64          12.25        28010.7           72.3            285         6755.0   T
          10.12         -63.17          14.97        28688.4           75.9            279         6944.0   T
           8.25         -62.93          15.06        29795.7           77.4            277         7134.0   T
           6.03         -69.04          19.90        31381.7           83.8            276         7371.0   H
           5.91         -69.38           3.30        31475.2           84.2            276         7390.0   T+H

SIGNIFICANT WIND SPEED AND DIRECTION LEVELS
-------------------------------------------
          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time   Type
            hPa             °C              %              m            m/s              °              s
---------------------------------------------------------------------------------------------------------
         972.50          -1.20          57.00            0.0            2.0             90            0.0   S+D
         972.76          -1.26          60.69            1.0            6.5            251            1.0   D
         910.46          -2.58          45.76          543.3            9.2            273          125.0   D
         840.18          -8.01          50.83         1168.1           12.4            253          268.0   D
         800.49         -11.42          63.39         1541.5           13.0            272          355.0   D
         720.78         -18.33          84.31         2331.2           13.9            247          555.0   D
         700.35         -19.45          72.50         2541.2           19.5            249          641.0   S
         586.17         -29.98          49.27         3842.3           14.9            242         1069.0   D
         483.92         -41.91          66.65         5172.3           12.8            208         1371.0   D
         408.57         -52.82          61.71         6284.2            9.3            216         1594.0   D
         391.36         -55.48          61.30         6557.6            8.2            192         1654.0   D
         389.15         -55.86          61.25         6593.3            7.8            195         1662.0   S
         366.96         -57.42          57.42         6962.0           12.9            241         1740.0   D
         347.96         -60.15          57.91         7294.6           15.1            235         1831.0   D
         324.78         -58.94          44.10         7728.0           16.1            259         1956.0   D
         293.57         -57.48          36.28         8358.8           18.2            239         2174.0   S
         286.05         -57.75          35.62         8523.8           15.8            233         2226.0   D
         269.49         -57.62          33.04         8900.8            8.2            261         2327.0   S
         266.16         -58.15          33.41         8976.5            9.1            267         2347.0   D
         240.47         -58.58          30.34         9609.7           12.2            242         2532.0   D
         208.77         -58.27          27.19        10494.3           16.7            271         2777.0   D
         196.98         -59.19          26.16        10853.3           22.4            262         2865.0   S
         156.45         -56.66          24.63        12286.5           26.0            260         3251.0   D
         122.20         -55.71          20.29        13847.6           25.9            280         3652.0   D
         105.52         -56.28          18.27        14766.9           28.6            269         3872.0   S
         103.43         -56.26          17.53        14892.4           30.2            268         3899.0   D
          90.84         -56.83          16.48        15693.1           35.2            284         4117.0   D
          86.52         -57.29          16.42        15997.8           40.7            277         4188.0   S
          78.54         -56.80          15.08        16596.7           39.8            266         4308.0   D
          56.32         -57.40          13.09        18670.7           43.3            282         4847.0   D
          54.23         -58.07          15.14        18905.7           42.1            280         4902.0   S
          25.67         -64.50          12.24        23358.8           68.8            273         5822.0   S
          22.02         -61.15          13.31        24264.7           65.3            269         6066.0   S
          18.54         -63.04          13.94        25249.8           73.7            269         6208.0   S
          18.15         -61.96          14.11        25375.7           72.1            268         6248.0   D
          13.26         -65.21          17.05        27177.6           63.5            280         6575.0   S
          11.38         -66.01          12.42        28037.1           72.6            285         6762.0   D
          10.71         -65.33          13.26        28396.3           78.8            280         6864.0   S
           9.28         -63.67          15.45        29166.9           71.1            284         7036.0   S
           5.91         -69.38           3.30        31475.2           84.2            276         7390.0   S+D
