Sample#,Date+Time,DateTime,Fl Sec,Az,El,Press,TAir,Hum,Lat,Long,Alt,Freq,RSSI,F Offs,Az Tr Offs,El Tr Offs,Sys V,Sys I,Az I,El I,MCU Stat,Rx Stat,SCA Stat,POST,SAA BIT,Rx BIT,MCU BIT,SCA BIT,CDU1 BIT,CDU2 BIT,State,Flags,THum
0,2017-07-30 13:10:33,42946.5489988,999999999.0000000,999999999.000,999999999.000,39.183,-66.280,654.190,-49.791431,-68.337242,21426.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-66.28
1,2017-07-30 13:10:34,42946.5490104,999999999.0000000,999999999.000,999999999.000,39.383,-66.130,654.110,-49.791382,-68.336510,21398.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-66.13
2,2017-07-30 13:10:35,42946.5490220,999999999.0000000,999999999.000,999999999.000,39.583,-65.940,654.130,-49.791328,-68.335770,21370.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-65.94
3,2017-07-30 13:10:36,42946.5490336,999999999.0000000,999999999.000,999999999.000,39.773,-65.710,654.080,-49.791279,-68.335045,21342.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-65.71
4,2017-07-30 13:10:37,42946.5490451,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,0,999999999.00
5,2017-07-30 13:10:38,42946.5490567,999999999.0000000,999999999.000,999999999.000,40.143,-65.470,654.080,-49.791183,-68.333611,21285.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-65.47
6,2017-07-30 13:10:39,42946.5490683,999999999.0000000,999999999.000,999999999.000,40.333,-65.560,654.050,-49.791142,-68.332901,21254.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-65.56
7,2017-07-30 13:10:40,42946.5490799,999999999.0000000,999999999.000,999999999.000,40.583,-65.420,654.050,-49.791096,-68.332207,21224.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-65.42
8,2017-07-30 13:10:41,42946.5490914,999999999.0000000,999999999.000,999999999.000,40.753,-65.270,654.040,-49.791050,-68.331520,21195.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-65.27
9,2017-07-30 13:10:42,42946.5491030,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,0,999999999.00
10,2017-07-30 13:10:43,42946.5491146,999999999.0000000,999999999.000,999999999.000,41.123,-65.180,654.010,-49.790962,-68.330177,21141.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-65.18
11,2017-07-30 13:10:44,42946.5491262,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,0,999999999.00
12,2017-07-30 13:10:45,42946.5491377,999999999.0000000,999999999.000,999999999.000,41.533,-65.120,654.050,-49.790867,-68.328850,21091.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-65.12
13,2017-07-30 13:10:46,42946.5491493,999999999.0000000,999999999.000,999999999.000,41.703,-65.020,654.040,-49.790813,-68.328201,21068.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-65.02
14,2017-07-30 13:10:47,42946.5491609,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,0,999999999.00
15,2017-07-30 13:10:48,42946.5491725,999999999.0000000,999999999.000,999999999.000,42.033,-64.710,653.980,-49.790707,-68.326904,21020.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.71
16,2017-07-30 13:10:49,42946.5491840,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,0,999999999.00
17,2017-07-30 13:10:50,42946.5491956,999999999.0000000,999999999.000,999999999.000,42.443,-64.330,654.030,-49.790573,-68.325615,20974.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.33
18,2017-07-30 13:10:51,42946.5492072,999999999.0000000,999999999.000,999999999.000,42.563,-64.130,654.010,-49.790508,-68.324966,20952.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.13
19,2017-07-30 13:10:52,42946.5492188,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,0,999999999.00
20,2017-07-30 13:10:53,42946.5492303,999999999.0000000,999999999.000,999999999.000,42.963,-64.110,654.010,-49.790382,-68.323669,20907.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.11
