          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +2.80          70.70           1700           26.1            263           95.9
         850.00          -2.59          82.25           3906           32.4            277          222.7
         700.00         -13.00          76.26           8841           54.3            273          523.1
         500.00         -28.83          69.81          17015           62.8            270         1203.8
         400.00         -41.04          70.74          22088           66.4            265         1543.7
         300.00         -56.74          64.15          28300           78.8            267         2023.8
         250.00         -64.01          65.98          32022           78.5            269         2283.3
         200.00         -60.42          35.62          36520           65.9            262         2674.3
         150.00         -63.36          24.78          42326           77.9            278         3086.2
         100.00         -66.61          24.50          50514           80.0            256         3621.7
          70.00         -61.51          19.56          57690           90.1            265         4221.9
          50.00         -66.93          14.86          64498           78.6            273         4670.3
          30.00         -72.83          14.98          74192          115.7            281         5412.1
          20.00         -75.03           9.19          81438          149.5            272         5929.0
          10.00         -67.76          17.67          94124          171.6            280         6657.2
