2018-08-02,16:26:52.041,Created. (UTC = 2018-08-02,19:26:52)
2018-08-02,16:26:53.755,Open Select/Confirm Radiosonde
2018-08-02,16:27:42.026,Sonde selected IMET-1-ABx
2018-08-02,16:27:42.035,Close Select/Confirm Radiosonde
2018-08-02,16:27:43.255,Open Balloon Train
2018-08-02,16:27:44.348,Close Balloon Train
2018-08-02,16:27:45.495,Open Station Details
2018-08-02,16:27:46.611,Close Station Details
2018-08-02,16:27:47.533,Open Message Setup
2018-08-02,16:27:50.023,Close Message Setup
2018-08-02,16:27:50.937,Open Current Weather
2018-08-02,16:27:55.185,Use ISA for current weather
2018-08-02,16:28:07.435,Close Current Weather
2018-08-02,16:28:57.797,Program closed
