Sample#	Date+Time	DateTime	Fl Sec	Az	El	Press	TAir	Hum	Lat	Long	Alt	Freq	RSSI	F Offs	Az Tr Offs	El Tr Offs	Sys V	Sys I	Az I	El I	MCU Stat	Rx Stat	SCA Stat	POST	SAA BIT	Rx BIT	MCU BIT	SCA BIT	CDU1 BIT	CDU2 BIT	State	Flags	THum
0	2017-08-13 11:48	42960.4917	999999999	999999999	999999999	765.43	-5.77	81.07	-50.313553	-72.751564	2018	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-5.77
1	2017-08-13 11:48	42960.49171	999999999	999999999	999999999	765.03	-5.83	81.23	-50.313526	-72.751343	2023	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-5.83
2	2017-08-13 11:48	42960.49172	999999999	999999999	999999999	764.63	-5.86	81.35	-50.313515	-72.751122	2027	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-5.86
3	2017-08-13 11:48	42960.49173	999999999	999999999	999999999	764.22	-5.87	81.27	-50.313503	-72.7509	2032	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-5.87
4	2017-08-13 11:48	42960.49174	999999999	999999999	999999999	763.79	-5.87	81.23	-50.313484	-72.750687	2037	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-5.87
5	2017-08-13 11:48	42960.49175	999999999	999999999	999999999	763.33	-5.88	81.19	-50.313492	-72.750481	2042	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-5.88
6	2017-08-13 11:48	42960.49177	999999999	999999999	999999999	762.86	-5.95	81.22	-50.313534	-72.750252	2046	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-5.95
7	2017-08-13 11:48	42960.49178	999999999	999999999	999999999	762.42	-5.99	81.47	-50.313583	-72.749977	2050	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-5.99
8	2017-08-13 11:48	42960.49179	999999999	999999999	999999999	761.94	-6.04	81.76	-50.313606	-72.749672	2055	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-6.04
9	2017-08-13 11:48	42960.4918	999999999	999999999	999999999	761.4	-6.1	81.89	-50.313591	-72.749374	2060	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-6.1
10	2017-08-13 11:48	42960.49181	999999999	999999999	999999999	760.94	-6.14	81.96	-50.313572	-72.749092	2065	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-6.14
11	2017-08-13 11:48	42960.49182	999999999	999999999	999999999	760.44	-6.14	82.13	-50.313568	-72.748787	2069	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-6.14
12	2017-08-13 11:48	42960.49183	999999999	999999999	999999999	760.02	-6.13	81.84	-50.313572	-72.748466	2074	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-6.13
13	2017-08-13 11:48	42960.49185	999999999	999999999	999999999	759.61	-6.12	81.76	-50.313564	-72.748146	2077	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-6.12
14	2017-08-13 11:48	42960.49186	999999999	999999999	999999999	759.2	-6.26	81.79	-50.313538	-72.747841	2082	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-6.26
15	2017-08-13 11:48	42960.49187	999999999	999999999	999999999	758.84	-6.23	81.96	-50.313503	-72.747581	2086	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-6.23
16	2017-08-13 11:48	42960.49188	999999999	999999999	999999999	758.41	-6.24	81.63	-50.313469	-72.74733	2091	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-6.24
17	2017-08-13 11:48	42960.49189	999999999	999999999	999999999	757.95	-6.26	81.46	-50.313438	-72.747078	2096	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-6.26
0	2017-08-13 11:48	42960.49192	999999999	999999999	999999999	756.96	-6.22	81.05	-50.313358	-72.746544	2106	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	0	2098952	-6.22
1	2017-08-13 11:48	42960.49193	999999999	999999999	999999999	756.52	-6.27	80.88	-50.313313	-72.746277	2110	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.27
2	2017-08-13 11:48	42960.49194	999999999	999999999	999999999	756.11	-6.3	80.67	-50.313271	-72.74604	2114	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.3
3	2017-08-13 11:48	42960.49195	999999999	999999999	999999999	755.72	-6.34	80.63	-50.313255	-72.745827	2120	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.34
4	2017-08-13 11:48	42960.49196	999999999	999999999	999999999	755.25	-6.35	80.51	-50.313263	-72.74559	2125	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.35
5	2017-08-13 11:48	42960.49197	999999999	999999999	999999999	754.75	-6.35	80.38	-50.313278	-72.745331	2130	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.35
6	2017-08-13 11:48	42960.49199	999999999	999999999	999999999	754.25	-6.44	80.38	-50.31329	-72.745041	2133	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.44
7	2017-08-13 11:48	42960.492	999999999	999999999	999999999	753.84	-6.51	80.5	-50.313301	-72.744751	2137	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.51
8	2017-08-13 11:48	42960.49201	999999999	999999999	999999999	753.47	-6.54	80.5	-50.313309	-72.744469	2140	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.54
9	2017-08-13 11:48	42960.49202	999999999	999999999	999999999	753.16	-6.52	80.58	-50.31332	-72.744202	2144	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.52
10	2017-08-13 11:48	42960.49203	999999999	999999999	999999999	752.81	-6.58	80.58	-50.313335	-72.743935	2148	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.58
11	2017-08-13 11:48	42960.49204	999999999	999999999	999999999	752.4	-6.62	80.49	-50.313354	-72.743668	2151	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.62
12	2017-08-13 11:48	42960.49205	999999999	999999999	999999999	752.03	-6.57	80.29	-50.313377	-72.743401	2155	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.57
13	2017-08-13 11:48	42960.49207	999999999	999999999	999999999	751.67	-6.53	80.21	-50.3134	-72.743126	2159	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.53
14	2017-08-13 11:48	42960.49208	999999999	999999999	999999999	751.31	-6.54	80.01	-50.313427	-72.742859	2162	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.54
15	2017-08-13 11:48	42960.49209	999999999	999999999	999999999	750.95	-6.57	79.88	-50.313446	-72.742584	2166	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.57
16	2017-08-13 11:48	42960.4921	999999999	999999999	999999999	750.48	-6.59	79.55	-50.313457	-72.74231	2171	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.59
17	2017-08-13 11:48	42960.49211	999999999	999999999	999999999	750.14	-6.67	79.67	-50.313465	-72.74202	2174	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.67
18	2017-08-13 11:48	42960.49212	999999999	999999999	999999999	749.78	-6.67	79.67	-50.313484	-72.741714	2178	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.67
19	2017-08-13 11:48	42960.49214	999999999	999999999	999999999	749.4	-6.68	79.63	-50.313503	-72.741425	2181	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.68
20	2017-08-13 11:48	42960.49215	999999999	999999999	999999999	749.05	-6.71	79.55	-50.313519	-72.741142	2184	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.71
21	2017-08-13 11:48	42960.49216	999999999	999999999	999999999	748.76	-6.68	79.46	-50.313534	-72.740875	2187	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.68
22	2017-08-13 11:48	42960.49217	999999999	999999999	999999999	748.52	-6.66	79.39	-50.313553	-72.740608	2190	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.66
23	2017-08-13 11:48	42960.49218	999999999	999999999	999999999	748.2	-6.76	79.25	-50.313576	-72.740364	2193	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.76
24	2017-08-13 11:48	42960.49219	999999999	999999999	999999999	747.83	-6.7	79.05	-50.313595	-72.74012	2197	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.7
25	2017-08-13 11:48	42960.4922	999999999	999999999	999999999	747.52	-6.72	79.05	-50.313618	-72.739883	2200	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.72
26	2017-08-13 11:48	42960.49222	999999999	999999999	999999999	747.25	-6.79	79.09	-50.313637	-72.739655	2203	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.79
27	2017-08-13 11:48	42960.49223	999999999	999999999	999999999	746.93	-6.77	79.05	-50.313648	-72.739433	2206	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.77
28	2017-08-13 11:48	42960.49224	999999999	999999999	999999999	746.65	-6.78	78.93	-50.313656	-72.739212	2209	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.78
29	2017-08-13 11:48	42960.49225	999999999	999999999	999999999	746.39	-6.79	78.77	-50.313656	-72.738991	2212	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.79
30	2017-08-13 11:48	42960.49226	999999999	999999999	999999999	746.08	-6.81	78.6	-50.313656	-72.738777	2215	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.81
31	2017-08-13 11:48	42960.49227	999999999	999999999	999999999	745.78	-6.77	78.48	-50.313656	-72.738571	2219	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.77
32	2017-08-13 11:48	42960.49229	999999999	999999999	999999999	745.43	-6.79	78.4	-50.313656	-72.738358	2222	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.79
33	2017-08-13 11:48	42960.4923	999999999	999999999	999999999	745.13	-6.82	78.31	-50.313648	-72.738136	2225	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.82
34	2017-08-13 11:48	42960.49231	999999999	999999999	999999999	744.82	-6.82	78.19	-50.313644	-72.73793	2227	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.82
35	2017-08-13 11:48	42960.49232	999999999	999999999	999999999	744.55	-6.71	78.04	-50.313641	-72.737709	2231	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.71
36	2017-08-13 11:48	42960.49233	999999999	999999999	999999999	744.23	-6.69	77.55	-50.313629	-72.73748	2235	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.69
37	2017-08-13 11:48	42960.49234	999999999	999999999	999999999	743.87	-6.62	77.31	-50.313622	-72.737259	2238	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.62
38	2017-08-13 11:48	42960.49236	999999999	999999999	999999999	743.52	-6.63	76.66	-50.313606	-72.737038	2241	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.63
39	2017-08-13 11:49	42960.49237	999999999	999999999	999999999	743.27	-6.63	76.54	-50.313606	-72.736824	2244	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.63
40	2017-08-13 11:49	42960.49238	999999999	999999999	999999999	742.97	-6.64	76.33	-50.31361	-72.73661	2247	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.64
41	2017-08-13 11:49	42960.49239	999999999	999999999	999999999	742.68	-6.65	76.25	-50.313625	-72.736374	2250	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	999999999	9999999999	999999999	999999999	999999999	999999999	999999999	999999999	1	2098952	-6.65
