RAOB/CSV,Ballon Launch 08_14_2017,,,,,,,,,,
INFO:1,,,,,,,,,,,
INFO:2,,,,,,,,,,,
DTG,2017-08-14 13:00:00,,,,,,,,,,
LAT,50.3,S,,,,,,,,,
LON,72.8,W,,,,,,,,,
ELEV,5,M,,,,,,,,,
WMO,,,,,,,,,,,
TEMPERATURE,C,,,,,,,,,,
MOISTURE,RH,,,,,,,,,,
WIND,kts,,,,,,,,,,
GPM,MSL,,,,,,,,,,
MISSING,-999,,,,,,,,,,
SORT,YES,,,,,,,,,,
OZONE,mPa,,,,,,,,,,
RAOB/DATA,,,,,,,,,,,
PRES,TEMP,RH,WIND,SPEED,GPM,OZONE,OMEGA,CFRL,VapDen,LiqWat,WSPEED
898.43,-2.06,73.24,280.1633759,13.13019673,799,,,,,,
893.59,-2.31,73.21,296.6008955,18.41889286,840,,,,,,
887.97,-2.73,73.8,300.9467125,14.56460706,893,,,,,,
882.06,-3.07,73.22,295.5359608,15.82791876,947,,,,,,
876.22,-3.36,73.58,280.7365326,17.31451434,996,,,,,,
869.97,-3.88,74.27,283.7526845,14.9196,1055,,,,,,
863.51,-4.27,73.74,285.4828162,17.97871835,1115,,,,,,
856.76,-4.51,71.77,282.6445267,14.62660392,1176,,,,,,
850.09,-5.13,73.01,284.7947376,16.51135837,1240,,,,,,
841.56,-5.36,70.63,284.6094012,24.51841621,1325,,,,,,
834.24,-6.01,71.75,283.2193048,28.47166088,1386,,,,,,
829.11,-6.34,72.47,278.5741599,27.18365615,1436,,,,,,
823.07,-6.89,73.53,274.8934578,27.29746089,1494,,,,,,
817.1,-7.43,75.37,267.3678458,26.2925939,1554,,,,,,
811.16,-7.84,77.2,260.7445202,29.47300435,1608,,,,,,
806.13,-8.13,76.17,256.6581618,26.34618239,1655,,,,,,
801.36,-8.46,76.67,262.8124013,29.95755336,1700,,,,,,
796.9,-8.62,75.14,263.0115304,32.91277269,1741,,,,,,
792.4,-9.02,75.6,259.6964591,33.83483576,1792,,,,,,
787.89,-9.36,75.6,267.5285065,33.85447642,1829,,,,,,
783.93,-9.64,75.52,266.189287,35.5679989,1872,,,,,,
780.07,-9.98,75.63,273.9220053,32.85073975,1906,,,,,,
776.79,-10.22,75.91,266.179051,35.15452735,1941,,,,,,
773.04,-10.55,76.53,270.0466413,35.5013225,1983,,,,,,
767.54,-11.02,77.16,268.8052819,37.80904775,2037,,,,,,
762.96,-11.4,77.98,267.7625944,37.32052285,2083,,,,,,
757.63,-11.88,79.09,273.2537529,36.60482016,2136,,,,,,
752.25,-12.06,76.05,266.0746188,35.47637366,2192,,,,,,
746.58,-12.66,77.54,265.861083,34.85096907,2246,,,,,,
742.13,-13.01,79.51,266.51841,46.93331557,2288,,,,,,
738.55,-13.23,79.02,263.5893897,43.12589337,2326,,,,,,
735.08,-13.45,78.56,267.2761893,42.36531492,2362,,,,,,
731.35,-13.64,76.7,266.1837235,40.3150472,2403,,,,,,
726.76,-14.01,75.9,262.6667396,44.80686251,2452,,,,,,
722.07,-14.37,75.07,257.718426,41.5951868,2502,,,,,,
717.16,-14.92,76.46,258.387851,40.74756773,2554,,,,,,
713.15,-15.22,76.59,257.0834868,44.29851016,2597,,,,,,
708.31,-15.73,77.4,257.9192816,36.42542102,2650,,,,,,
703.61,-16.16,78.33,259.2181936,45.55101839,2698,,,,,,
698.23,-16.6,78.28,258.2027985,39.59477132,2758,,,,,,
692.88,-16.64,71.23,262.3779666,40.06074774,2814,,,,,,
686.98,-17.36,70.87,256.6977666,46.30829522,2880,,,,,,
682.06,-17.72,72.73,263.2968238,40.71499024,2931,,,,,,
677.5,-18.17,70.53,258.1810337,45.183758,2983,,,,,,
672.98,-18.56,70.65,256.2952391,49.42084428,3033,,,,,,
668.17,-18.93,70.2,263.3391686,54.25564671,3086,,,,,,
663.56,-19.35,68.25,260.716843,50.65837481,3139,,,,,,
658.82,-19.51,65.37,262.063747,50.90890583,3192,,,,,,
654.04,-19.74,60.03,261.6632586,54.25853089,3245,,,,,,
649.5,-20.18,57.7,258.1577556,53.88461593,3299,,,,,,
644.7,-20.69,57.63,260.5215503,53.14570429,3349,,,,,,
639.23,-21.33,58.55,259.5379757,54.48364187,3415,,,,,,
634.5,-21.78,59.5,259.7117506,52.74642709,3467,,,,,,
630.6,-22.18,60.85,251.4919679,53.51459833,3512,,,,,,
626.28,-22.36,58.46,256.4412631,57.27102019,3563,,,,,,
621.98,-22.79,55.9,258.3617722,53.21559958,3613,,,,,,
618.23,-23.1,54.42,256.808768,56.76052221,3660,,,,,,
614.93,-23.31,52.43,249.5255211,54.17265779,3693,,,,,,
612.15,-23.67,51.87,254.9774441,61.68442372,3727,,,,,,
609.12,-23.96,50.76,252.9488668,58.14017571,3763,,,,,,
605.94,-24.18,47.14,260.7323068,59.92955476,3801,,,,,,
602.67,-24.62,45.77,256.2389601,59.60870711,3842,,,,,,
599.65,-24.87,44.74,257.6465063,58.6213612,3877,,,,,,
596.81,-25.19,42.67,251.3596543,62.09622862,3913,,,,,,
593.04,-25.58,40.61,256.5639617,55.74863647,3962,,,,,,
589.19,-26.06,40.91,254.0064733,58.58628087,4010,,,,,,
585.99,-26.33,41.34,250.7107176,56.89845382,4047,,,,,,
582.37,-26.65,41.85,251.0600739,58.10439389,4096,,,,,,
578.48,-27.13,42.09,253.4244137,56.3638329,4142,,,,,,
574.1,-27.65,43.43,250.5299991,53.16602505,4196,,,,,,
569.92,-28.07,45.77,251.3988714,55.54877679,4248,,,,,,
565.81,-28.55,48.44,250.497117,54.30393962,4299,,,,,,
562.06,-29.04,48.22,247.9875479,54.75484844,4349,,,,,,
558.35,-29.46,49.41,251.2853532,52.14196884,4393,,,,,,
554.77,-29.88,51.69,246.6662337,53.23213008,4442,,,,,,
551.53,-30.24,53.82,252.7910661,50.50371881,4480,,,,,,
548.1,-30.65,53.99,250.0700783,52.43198709,4526,,,,,,
544.56,-30.73,50.79,250.982485,57.15079572,4572,,,,,,
540.78,-31.07,48.08,249.7266905,54.00318333,4624,,,,,,
537.04,-31.36,45,251.1100693,54.99770037,4670,,,,,,
533.84,-31.61,35.44,246.5709361,54.86785011,4712,,,,,,
530.77,-31.64,31.01,247.0761123,53.30069192,4752,,,,,,
526.79,-30.79,22.75,245.1537881,56.07462136,4811,,,,,,
523.01,-30.63,15.48,240.8844804,53.65762314,4858,,,,,,
519.47,-30.68,11.79,241.6430667,57.23223896,4906,,,,,,
515.57,-30.87,5.69,240.2622318,59.92606178,4961,,,,,,
511.66,-31.08,2.99,237.94677,57.55872503,5017,,,,,,
507.71,-31.29,1.72,236.8302383,60.04487286,5073,,,,,,
503.65,-31.64,1.34,235.6248512,60.51411856,5129,,,,,,
499.48,-32.08,1.01,234.9794327,61.3773757,5187,,,,,,
495.73,-32.52,1.85,234.9706353,61.25143086,5245,,,,,,
491.22,-33.12,3.08,235.0260801,61.59890886,5304,,,,,,
487.01,-33.62,4.07,233.7593644,63.37092518,5365,,,,,,
482.67,-34.14,4.79,233.1448254,65.58498299,5427,,,,,,
478.12,-34.6,5.01,235.2767117,66.03056418,5494,,,,,,
473.87,-35.14,5.1,233.3598105,66.05917399,5554,,,,,,
470.08,-35.66,5.34,235.5641985,65.94108783,5612,,,,,,
465.89,-36.15,5.31,235.1730232,66.87679682,5671,,,,,,
461.95,-36.6,5.36,234.9221651,65.29856447,5727,,,,,,
458.26,-37.07,5.45,234.2790081,63.871224,5783,,,,,,
454.49,-37.48,5.32,234.2245034,63.93431851,5841,,,,,,
450.87,-37.75,4.98,234.2915176,65.29229803,5895,,,,,,
447.56,-38.16,4.64,233.8726184,66.42698718,5944,,,,,,
444.55,-38.49,4.47,233.190895,66.08653622,5990,,,,,,
441.68,-38.82,4.32,231.7401319,65.78990195,6033,,,,,,
438.97,-39.14,4.24,231.6339146,67.64799198,6074,,,,,,
436.33,-39.42,4.08,230.2165383,65.72177056,6115,,,,,,
433.9,-39.74,4.07,230.2176876,65.45413779,6153,,,,,,
431.33,-40.16,4.03,230.9311306,64.91412725,6191,,,,,,
429.04,-40.39,4.06,232.0924991,66.69294051,6227,,,,,,
426.83,-40.65,3.97,232.6886898,66.28420218,6263,,,,,,
424.7,-40.86,3.8,231.864706,68.09858515,6298,,,,,,
422.71,-41.12,3.83,231.0905755,66.81713995,6329,,,,,,
420.72,-41.3,3.69,230.476614,66.99569083,6360,,,,,,
418.96,-41.56,3.61,230.9147601,66.18911228,6389,,,,,,
417.06,-41.77,3.5,230.8739898,67.15495636,6418,,,,,,
415.2,-41.99,3.38,231.8671,66.77716663,6448,,,,,,
413.49,-42.2,3.33,233.0858363,66.74986169,6476,,,,,,
411.67,-42.37,3.29,233.1336936,67.90068137,6505,,,,,,
409.91,-42.55,3.25,231.5444488,68.03443866,6536,,,,,,
