        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         989.10         +13.70          50.00           10.0            180
             10            0.6         988.74         +13.68          50.00           36.9            276
             20            1.2         988.38         +13.66          50.00           64.2            282
             30            1.8         988.03         +13.65          49.99           64.2            282
             40            2.3         987.67         +13.63          49.99           64.2            282
             50            2.9         987.31         +13.61          49.99           64.2            282
             60            3.5         986.95         +13.59          49.99           64.2            282
             70            4.1         986.60         +13.57          49.99           64.2            282
             80            4.7         986.24         +13.56          49.99           64.2            282
             90            5.3         985.88         +13.54          49.99           64.2            282
            100            5.9         985.52         +13.52          49.99           64.2            282
            110            6.4         985.17         +13.50          49.99           64.2            282
            120            7.0         984.81         +13.48          49.99           64.2            282
            130            7.6         984.45         +13.47          49.99           64.2            282
            140            8.2         984.10         +13.45          49.99           64.2            282
            150            8.8         983.74         +13.43          49.99           64.2            282
            160            9.4         983.38         +13.41          49.99           64.2            282
            170           10.0         983.03         +13.40          49.99           64.2            282
            180           10.5         982.67         +13.38          49.99           64.2            282
            190           11.1         982.31         +13.36          49.99           64.2            282
            200           11.7         981.96         +13.34          49.99           64.2            282
            210           12.3         981.60         +13.32          49.99           64.2            282
            220           12.9         981.25         +13.31          49.99           64.2            282
            230           13.5         980.89         +13.29          49.99           64.2            282
            240           14.1         980.54         +13.27          49.99           64.2            282
            250           14.6         980.18         +13.25          49.99           64.2            282
            260           15.2         979.82         +13.23          49.99           64.2            282
            270           15.8         979.47         +13.22          49.99           64.2            282
            280           16.4         979.11         +13.20          49.99           64.2            282
            290           17.0         978.76         +13.18          49.99           64.2            282
            300           17.6         978.40         +13.16          49.99           64.2            282
            310           18.2         978.05         +13.14          49.99           64.2            282
            320           18.7         977.69         +13.13          49.99           64.2            282
            330           19.3         977.34         +13.11          49.99           64.2            282
            340           19.9         976.98         +13.09          49.98           64.2            282
            350           20.5         976.63         +13.07          49.98           64.2            282
            360           21.1         976.28         +13.05          49.98           64.2            282
            370           21.7         975.92         +13.04          49.98           64.2            282
            380           22.3         975.57         +13.02          49.98           64.2            282
            390           22.9         975.21         +13.00          49.98           64.2            282
            400           23.4         974.86         +12.98          49.98           64.2            282
            410           24.0         974.51         +12.96          49.98           64.2            282
            420           24.6         974.15         +12.95          49.98           64.2            282
            430           25.2         973.80         +12.93          49.98           64.2            282
            440           25.8         973.44         +12.91          49.98           64.2            282
            450           26.4         973.09         +12.89          49.98           64.2            282
            460           27.0         972.74         +12.87          49.98           64.2            282
            470           27.5         972.38         +12.86          49.98           64.2            282
            480           28.1         972.03         +12.84          49.98           64.2            282
            490           28.7         971.68         +12.82          49.98           64.2            282
            500           29.3         971.33         +12.80          49.98           64.2            282
            510           29.9         970.97         +12.78          49.98           64.2            282
            520           30.5         970.62         +12.77          49.98           64.2            282
            530           31.1         970.27         +12.75          49.98           64.2            282
            540           31.7         969.91         +12.73          49.98           64.2            282
            550           32.2         969.56         +12.71          49.98           64.2            282
            560           32.8         969.21         +12.69          49.98           64.2            282
            570           33.4         968.86         +12.68          49.98           64.2            282
            580           34.0         968.51         +12.66          49.98           64.2            282
            590           34.6         968.15         +12.64          50.01           64.2            282
            600           35.2         967.80         +12.62          50.06           64.2            282
            610           35.8         967.45         +12.60          50.13           64.2            282
            620           36.4         967.10         +12.52          50.22           64.2            282
