          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00         +10.21          50.54           1839           64.2            282          108.3
         850.00          +6.03          50.48           4129           64.2            282          244.9
         700.00          -4.51          50.40           9242           64.1            282          589.4
         500.00         -21.90          23.19          17660           59.5            285         1181.1
         400.00         -36.78          40.50          22886           59.1            283         1548.6
         300.00         -53.12          23.35          29175           57.1            269         1941.5
         250.00         -63.50          40.40          32942           49.9            266         2154.9
         200.00         -67.19          28.87          37360           67.0            283         2453.1
         150.00         -65.36          11.66          43129           70.4            266         2849.7
         100.00         -67.44          10.29          51183           97.2            266         3385.4
          70.00         -68.00           6.95          58268           86.1            268         3892.9
          50.00         -70.57           6.84          64861           99.7            266         4387.3
          30.00         -74.05           5.32          74641          138.5            271         4943.0
          20.00         -72.67           4.12          82444          146.4            279         5417.8
          10.00         -67.67           1.98          96257          142.3            279         6239.3
