Sample#,Date+Time,DateTime,Fl Sec,Az,El,Press,TAir,Hum,Lat,Long,Alt,Freq,RSSI,F Offs,Az Tr Offs,El Tr Offs,Sys V,Sys I,Az I,El I,MCU Stat,Rx Stat,SCA Stat,POST,SAA BIT,Rx BIT,MCU BIT,SCA BIT,CDU1 BIT,CDU2 BIT,State,Flags,THum
0,2017-08-16 10:45:23,42963.4481887,999999999.0000000,999999999.000,999999999.000,974.120,0.530,71.160,-50.283455,-72.047272,196.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,0.53
1,2017-08-16 10:45:24,42963.4482002,999999999.0000000,999999999.000,999999999.000,974.110,0.530,71.200,-50.283455,-72.047272,196.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,0.53
2,2017-08-16 10:45:25,42963.4482118,999999999.0000000,999999999.000,999999999.000,974.120,0.580,71.290,-50.283455,-72.047272,196.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,0.58
3,2017-08-16 10:45:26,42963.4482234,999999999.0000000,999999999.000,999999999.000,974.120,0.570,71.290,-50.283455,-72.047272,196.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,0.57
4,2017-08-16 10:45:27,42963.4482350,999999999.0000000,999999999.000,999999999.000,974.120,0.570,71.330,-50.283455,-72.047272,196.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,0.57
5,2017-08-16 10:45:28,42963.4482465,999999999.0000000,999999999.000,999999999.000,974.110,0.480,71.480,-50.283455,-72.047272,196.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,0.48
6,2017-08-16 10:45:29,42963.4482581,999999999.0000000,999999999.000,999999999.000,974.080,0.460,71.440,-50.283459,-72.047272,196.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,0.46
7,2017-08-16 10:45:30,42963.4482697,999999999.0000000,999999999.000,999999999.000,974.110,0.390,71.470,-50.283459,-72.047272,196.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,0.39
8,2017-08-16 10:45:31,42963.4482813,999999999.0000000,999999999.000,999999999.000,974.150,0.390,71.430,-50.283455,-72.047272,196.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,0.39
9,2017-08-16 10:45:32,42963.4482928,999999999.0000000,999999999.000,999999999.000,974.080,0.390,71.590,-50.283455,-72.047272,196.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,0.39
