        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         987.50          +4.80          53.00            3.0            180
             10            0.1         987.13          +5.13          52.27            1.8            192
             20            0.2         986.77          +5.46          51.54            1.0            233
             30            0.3         986.40          +5.80          50.82            1.3            299
             40            0.4         986.03          +6.13          50.09            2.4            321
             50            0.5         985.66          +6.46          49.36            3.6            328
             60            0.6         985.30          +6.79          48.63            4.9            332
             70            0.8         984.93          +7.13          47.91            6.1            334
             80            0.9         984.57          +7.46          47.18            7.4            336
             90            1.0         984.20          +7.79          46.45            8.6            337
            100            1.2         983.83          +7.92          45.11            9.0            337
            110            1.5         983.47          +7.96          43.51            9.1            336
            120            1.7         983.11          +8.00          41.90            9.1            336
            130            2.0         982.74          +8.04          40.30            9.1            336
            140            2.4         982.38          +8.12          38.23            9.1            336
            150            2.7         982.02          +8.21          36.12            9.1            335
            160            3.1         981.65          +8.30          34.51            9.1            334
            170            3.6         981.29          +8.37          34.02            9.1            334
            180            4.1         980.93          +8.44          33.55            9.1            333
            190            4.6         980.57          +8.51          33.26            9.1            332
            200            5.1         980.20          +8.58          32.99            9.2            332
            210            5.6         979.84          +8.63          32.85            9.3            332
            220            6.1         979.48          +8.67          32.72            9.4            331
            230            6.6         979.12          +8.69          32.62            9.5            331
            240            7.1         978.76          +8.72          32.50            9.6            331
            250            7.7         978.40          +8.74          32.37            9.7            331
            260            8.2         978.04          +8.75          32.29            9.8            331
            270            8.7         977.67          +8.73          32.36            9.9            331
            280            9.2         977.31          +8.72          32.38           10.1            332
            290            9.8         976.95          +8.71          32.35           10.2            332
            300           10.3         976.59          +8.70          32.30           10.3            332
            310           10.8         976.23          +8.70          32.23           10.4            333
            320           11.3         975.87          +8.70          32.21           10.4            333
            330           11.7         975.51          +8.71          32.21           10.4            334
            340           12.2         975.15          +8.72          32.20           10.4            334
            350           12.7         974.79          +8.73          32.14           10.4            334
            360           13.3         974.43          +8.73          32.17           10.4            335
            370           13.8         974.07          +8.69          32.29           10.4            335
            380           14.4         973.71          +8.65          32.39           10.3            335
            390           15.0         973.35          +8.60          32.49           10.3            336
            400           15.5         972.99          +8.58          32.55           10.3            336
            410           16.1         972.64          +8.56          32.61           10.2            336
            420           16.6         972.28          +8.53          32.71           10.2            336
            430           17.2         971.92          +8.49          32.78           10.1            336
            440           17.7         971.56          +8.46          32.82           10.1            336
            450           18.3         971.20          +8.43          32.84           10.0            336
            460           18.8         970.84          +8.40          32.83           10.0            335
            470           19.3         970.48          +8.40          32.76           10.0            335
            480           19.9         970.12          +8.43          32.65           10.1            335
            490           20.4         969.77          +8.44          32.55           10.1            334
            500           20.9         969.41          +8.44          32.44           10.2            334
            510           21.5         969.05          +8.41          32.42           10.2            334
            520           22.0         968.69          +8.37          32.40           10.3            333
            530           22.5         968.33          +8.35          32.52           10.4            333
            540           23.1         967.98          +8.34          32.61           10.5            333
            550           23.6         967.62          +8.33          32.41           10.6            333
            560           24.1         967.26          +8.32          32.18           10.6            333
            570           24.7         966.90          +8.33          31.90           10.7            333
            580           25.2         966.55          +8.36          31.52           10.8            333
            590           25.8         966.19          +8.44          31.01           10.9            334
            600           26.3         965.83          +8.49          30.65           10.9            334
            610           26.9         965.47          +8.54          30.37           11.0            335
            620           27.5         965.12          +8.54          30.41           11.0            335
