Sample#,Date+Time,DateTime,Fl Sec,Az,El,Press,TAir,Hum,Lat,Long,Alt,Freq,RSSI,F Offs,Az Tr Offs,El Tr Offs,Sys V,Sys I,Az I,El I,MCU Stat,Rx Stat,SCA Stat,POST,SAA BIT,Rx BIT,MCU BIT,SCA BIT,CDU1 BIT,CDU2 BIT,State,Flags,THum
0,2017-08-22 10:12:50,42969.4255845,999999999.0000000,999999999.000,999999999.000,753.850,-6.530,46.230,-50.313774,-72.719261,1936.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-6.53
1,2017-08-22 10:12:51,42969.4255961,999999999.0000000,999999999.000,999999999.000,753.210,-6.560,46.190,-50.313759,-72.718918,1942.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-6.56
2,2017-08-22 10:12:52,42969.4256076,999999999.0000000,999999999.000,999999999.000,752.570,-6.670,46.530,-50.313728,-72.718582,1949.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-6.67
3,2017-08-22 10:12:53,42969.4256192,999999999.0000000,999999999.000,999999999.000,751.950,-6.810,47.050,-50.313698,-72.718269,1956.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-6.81
4,2017-08-22 10:12:54,42969.4256308,999999999.0000000,999999999.000,999999999.000,751.350,-6.880,47.440,-50.313663,-72.718002,1962.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-6.88
5,2017-08-22 10:12:55,42969.4256424,999999999.0000000,999999999.000,999999999.000,750.700,-6.910,47.540,-50.313641,-72.717751,1968.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-6.91
6,2017-08-22 10:12:56,42969.4256539,999999999.0000000,999999999.000,999999999.000,750.130,-6.930,47.580,-50.313625,-72.717499,1973.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-6.93
7,2017-08-22 10:12:57,42969.4256655,999999999.0000000,999999999.000,999999999.000,749.600,-6.960,47.550,-50.313625,-72.717239,1980.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-6.96
8,2017-08-22 10:12:58,42969.4256771,999999999.0000000,999999999.000,999999999.000,748.940,-6.980,47.210,-50.313641,-72.716957,1986.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-6.98
9,2017-08-22 10:12:59,42969.4256887,999999999.0000000,999999999.000,999999999.000,748.290,-7.070,47.250,-50.313648,-72.716660,1993.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-7.07
