        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         972.70          +3.40          75.00            2.0             90
            656           42.8         949.12          +6.31          65.11            3.9            323
           1313           84.3         926.18          +4.48          73.40            6.9            320
           2626          165.1         881.59          +2.66          81.28           18.9            325
           3938          246.2         839.11          +2.12          73.42           21.8            303
           5250          334.5         798.39          -0.20          71.76           29.7            287
           6563          414.3         759.26          -2.93          74.37           37.7            289
           7875          493.9         721.66          -6.12          82.24           42.5            285
           9843          622.2         668.08          -9.70          69.82           42.2            283
          13121          841.1         585.81         -15.14          43.44           38.2            262
          16398         1095.9         512.63         -19.60          15.27           54.7            265
          19675         1306.4         447.01         -28.60          19.63           59.2            265
          26226         1777.9         334.76         -45.38          14.45           66.2            271
          32771         2226.0         245.45         -60.70          33.85           81.9            267
          39313         2659.8         178.53         -57.69           7.49           76.2            277
          45851         3103.1         130.16         -58.29           4.95           74.1            277
          58914         3930.2          68.57         -62.20           3.56           85.3            274
          71961         4699.4          35.68         -66.84           3.58          106.6            278
          84992         5387.8          18.28         -73.28           2.97          147.3            274
          98006         6048.1           9.42         -60.56           2.18          168.9            277
