           Time          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
              s             mB             °C              %            kts              °             ft
---------------------------------------------------------------------------------------------------------
            0.0         976.10          +4.70          43.00           10.0            180              0
            1.0         974.31          +2.94          34.59           29.2            274             49
            2.0         973.38          +2.70          31.58           29.2            274             74
            3.0         972.64          +2.55          41.99           29.0            274             94
            4.0         971.95          +2.44          42.13           28.7            274            113
            5.0         971.31          +2.41          42.35           28.7            275            131
            6.0         970.68          +2.35          41.97           28.8            275            148
            7.0         970.05          +2.12          40.96           28.9            275            165
            8.0         969.41          +1.89          39.96           28.9            275            182
            9.0         968.78          +1.78          40.13           28.9            274            200
           10.0         968.15          +1.72          40.61           28.8            274            217
           11.0         967.53          +1.63          40.97           28.6            274            234
           12.0         966.82          +1.59          41.83           28.4            274            253
           13.0         966.19          +1.57          42.61           28.5            273            270
           14.0         965.56          +1.54          43.01           28.6            273            288
           15.0         964.93          +1.51          43.33           28.7            273            305
           16.0         964.30          +1.45          43.40           28.8            274            322
           17.0         963.66          +1.40          43.44           28.9            274            340
           18.0         963.00          +1.33          43.70           29.1            274            358
           19.0         962.31          +1.29          43.66           29.2            274            376
           20.0         961.62          +1.24          43.59           29.2            273            395
           21.0         960.94          +1.19          43.86           29.2            273            414
           22.0         960.24          +1.15          44.28           29.1            273            433
           23.0         959.54          +1.11          44.51           28.9            273            453
           24.0         958.83          +1.07          44.97           28.9            273            472
           25.0         958.11          +1.03          45.13           28.8            273            492
           26.0         957.38          +0.96          44.90           28.7            273            512
           27.0         956.66          +0.88          44.67           28.6            273            532
           28.0         955.93          +0.82          45.05           28.5            273            552
           29.0         955.21          +0.76          45.12           28.6            273            572
           30.0         954.48          +0.71          45.28           28.7            273            592
           31.0         953.75          +0.64          45.77           28.9            273            612
           32.0         953.00          +0.58          45.57           29.0            273            633
           33.0         952.26          +0.52          44.80           28.9            273            653
           34.0         951.52          +0.38          43.57           28.8            273            674
           35.0         950.77          +0.29          42.21           28.6            273            694
           36.0         950.03          +0.21          42.36           28.5            273            715
           37.0         949.30          +0.17          42.85           28.4            273            735
           38.0         948.58          +0.11          43.22           28.4            273            755
           39.0         947.86          +0.04          44.31           28.5            273            775
           40.0         947.16          -0.01          45.57           28.5            273            794
           41.0         946.45          -0.03          47.25           28.5            272            814
           42.0         945.77          -0.12          47.78           28.5            272            833
           43.0         945.11          -0.16          47.12           28.5            272            851
           44.0         944.46          -0.20          46.75           28.4            272            869
           45.0         943.82          -0.28          46.88           28.3            272            887
           46.0         943.17          -0.36          47.06           28.3            271            905
           47.0         942.52          -0.39          47.30           28.5            271            923
           48.0         941.86          -0.43          47.96           28.6            270            941
           49.0         941.22          -0.46          48.55           28.7            271            959
           50.0         940.58          -0.50          48.82           28.6            271            977
           51.0         939.96          -0.53          48.63           28.5            271            995
           52.0         939.33          -0.58          49.06           28.2            271           1012
           53.0         938.69          -0.64          48.83           28.0            271           1030
           54.0         938.07          -0.68          49.02           27.8            270           1047
           55.0         937.44          -0.72          49.12           27.7            270           1065
           56.0         936.82          -0.77          49.32           27.7            269           1082
           57.0         936.20          -0.82          49.04           27.8            269           1100
           58.0         935.56          -0.88          49.34           27.9            269           1117
           59.0         934.93          -0.93          49.75           28.1            269           1135
           60.0         934.29          -0.98          49.41           28.1            270           1153
           61.0         933.64          -1.05          49.53           28.1            270           1171
           62.0         932.98          -1.12          49.55           28.0            270           1190
           63.0         932.32          -1.17          49.54           27.9            270           1208
           64.0         931.66          -1.20          49.13           28.0            270           1227
           65.0         930.97          -1.26          49.51           27.9            269           1246
           66.0         930.29          -1.32          50.13           27.7            270           1265
           67.0         929.59          -1.39          50.43           27.6            270           1285
           68.0         928.88          -1.45          50.80           27.5            270           1305
           69.0         928.18          -1.50          50.77           27.5            269           1324
           70.0         927.48          -1.56          49.96           27.7            269           1344
           71.0         926.80          -1.63          49.64           28.0            269           1363
           72.0         926.13          -1.68          49.41           28.1            270           1382
           73.0         925.46          -1.74          49.31           28.0            269           1401
           74.0         924.79          -1.79          50.02           27.8            269           1420
           75.0         924.11          -1.86          50.22           27.6            269           1439
           76.0         923.44          -1.90          49.53           27.5            269           1458
           77.0         922.78          -1.96          49.81           27.5            269           1477
           78.0         922.11          -2.02          50.36           27.5            268           1496
           79.0         921.45          -2.07          50.25           27.6            268           1514
           80.0         920.79          -2.15          50.40           27.6            268           1533
           81.0         920.15          -2.22          50.61           27.7            268           1551
           82.0         919.52          -2.28          50.49           27.7            268           1569
           83.0         918.88          -2.35          50.80           27.7            268           1587
           84.0         918.24          -2.40          51.67           27.7            268           1605
           85.0         917.60          -2.46          52.38           27.6            268           1623
           86.0         916.97          -2.53          52.94           27.7            268           1641
           87.0         916.34          -2.58          53.54           27.8            268           1659
           88.0         915.70          -2.59          52.02           27.7            268           1677
           89.0         915.06          -2.63          51.83           27.6            268           1695
           90.0         914.43          -2.69          52.85           27.4            268           1713
           91.0         913.81          -2.75          53.04           27.3            268           1731
           92.0         913.20          -2.79          53.08           27.3            267           1748
           93.0         912.58          -2.80          52.36           27.4            267           1766
           94.0         911.98          -2.85          53.09           27.6            266           1783
           95.0         911.37          -2.89          54.52           27.8            266           1800
           96.0         910.76          -2.94          53.70           27.9            267           1818
           97.0         910.16          -3.00          51.97           27.8            267           1835
           98.0         909.55          -3.06          51.42           27.5            267           1852
           99.0         908.95          -3.13          52.58           27.4            267           1870
          100.0         908.34          -3.17          52.79           27.4            267           1887
          101.0         907.73          -3.23          52.67           27.3            267           1905
          102.0         907.11          -3.27          52.30           27.3            267           1922
          103.0         906.51          -3.31          51.31           27.4            267           1939
          104.0         905.90          -3.39          48.93           27.3            267           1957
          105.0         905.30          -3.42          45.17           27.1            267           1974
          106.0         904.69          -3.43          40.51           26.8            267           1992
          107.0         904.07          -3.49          39.26           26.6            267           2009
          108.0         903.46          -3.54          39.83           26.4            267           2027
          109.0         902.86          -3.60          41.00           26.3            267           2044
          110.0         902.26          -3.64          42.25           26.2            266           2061
          111.0         901.66          -3.68          42.18           26.1            266           2078
          112.0         901.06          -3.72          42.45           26.1            266           2096
          113.0         900.47          -3.78          42.51           26.2            266           2112
          114.0         899.90          -3.82          42.90           26.4            266           2129
          115.0         899.33          -3.87          42.78           26.5            266           2145
          116.0         898.76          -3.91          42.90           26.5            266           2162
          117.0         898.20          -3.95          43.74           26.4            266           2178
          118.0         897.64          -3.98          43.92           26.2            266           2194
          119.0         897.09          -4.02          43.86           26.1            266           2210
          120.0         896.54          -4.08          43.81           26.0            266           2226
          121.0         895.99          -4.13          43.84           26.0            266           2242
          122.0         895.43          -4.19          44.30           26.0            266           2258
          123.0         894.88          -4.24          44.45           26.1            265           2274
          124.0         894.33          -4.28          44.61           26.1            265           2290
          125.0         893.79          -4.33          44.41           26.3            264           2305
          126.0         893.24          -4.39          44.50           26.5            264           2321
          127.0         892.69          -4.44          44.65           26.7            264           2337
          128.0         892.13          -4.48          44.96           26.8            264           2353
          129.0         891.56          -4.50          44.79           26.7            264           2370
          130.0         890.98          -4.53          45.16           26.4            265           2386
          131.0         890.41          -4.60          45.21           26.2            264           2403
          132.0         889.85          -4.64          45.16           26.2            264           2419
          133.0         889.30          -4.68          45.60           26.2            264           2435
          134.0         888.75          -4.73          45.59           26.2            264           2451
          135.0         888.19          -4.81          45.55           26.2            264           2467
          136.0         887.65          -4.86          45.91           26.2            264           2483
          137.0         887.11          -4.90          45.83           26.0            264           2499
          138.0         886.57          -4.93          46.29           25.7            264           2514
          139.0         886.03          -4.99          46.32           25.4            264           2530
          140.0         885.47          -5.02          46.39           25.4            265           2546
          141.0         884.92          -5.09          46.44           25.5            265           2563
          142.0         884.36          -5.15          46.45           25.7            265           2579
          143.0         883.81          -5.21          46.90           25.7            265           2595
          144.0         883.27          -5.25          47.02           25.7            265           2611
          145.0         882.73          -5.29          47.12           25.7            265           2626
          146.0         882.20          -5.33          47.34           25.6            265           2642
          147.0         881.66          -5.37          47.56           25.6            265           2658
          148.0         881.10          -5.42          47.79           25.7            265           2674
          149.0         880.53          -5.46          48.04           25.8            265           2690
          150.0         879.97          -5.50          47.77           25.8            265           2707
          151.0         879.41          -5.54          47.92           25.8            266           2723
          152.0         878.85          -5.60          48.12           25.7            266           2740
          153.0         878.30          -5.64          48.40           25.5            266           2756
          154.0         877.74          -5.69          48.66           25.3            266           2772
          155.0         877.18          -5.73          48.52           25.0            265           2788
          156.0         876.62          -5.78          48.58           24.8            265           2805
          157.0         876.04          -5.83          48.48           24.7            265           2822
          158.0         875.47          -5.86          48.28           24.6            264           2839
          159.0         874.89          -5.90          47.54           24.5            264           2856
          160.0         874.31          -5.97          47.55           24.4            264           2873
          161.0         873.74          -6.03          48.13           24.4            264           2890
          162.0         873.16          -6.09          48.46           24.2            264           2907
          163.0         872.57          -6.13          48.28           24.1            264           2924
          164.0         871.98          -6.18          48.45           24.0            264           2941
          165.0         871.40          -6.22          48.18           23.9            264           2958
          166.0         870.82          -6.27          47.85           23.9            264           2975
          167.0         870.23          -6.32          47.98           23.8            264           2993
          168.0         869.64          -6.40          48.06           23.8            264           3010
          169.0         869.05          -6.47          48.10           23.9            263           3027
          170.0         868.47          -6.52          48.09           24.0            263           3045
          171.0         867.90          -6.57          48.18           24.2            263           3061
          172.0         867.33          -6.60          48.31           24.4            263           3078
          173.0         866.77          -6.64          48.71           24.5            263           3095
          174.0         866.21          -6.67          49.35           24.5            264           3111
          175.0         865.65          -6.74          49.75           24.4            264           3128
          176.0         865.09          -6.80          50.40           24.6            264           3144
