           Time          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
              s             mB             °C              %            kts              °             ft
---------------------------------------------------------------------------------------------------------
            0.0         998.30          -1.40          64.00          180.0              3              0
            1.0         997.92          -2.28          70.33            5.1            333             10
            2.0         997.37          -1.36          75.86            5.4            334             24
            3.0         996.82          -0.29          79.14            5.7            336             39
            4.0         996.25          -0.04          81.40            5.8            338             54
            5.0         995.62          +0.09          82.28            5.9            339             70
            6.0         994.98          +0.08          81.16            5.8            339             87
            7.0         994.36          +0.03          80.73            5.7            339            104
            8.0         993.74          +0.01          80.50            5.7            338            120
            9.0         993.09          -0.05          80.09            5.6            336            137
           10.0         992.45          -0.06          79.65            5.8            334            154
           11.0         991.80          +0.18          79.25            5.9            333            171
           12.0         991.11          +0.22          78.87            6.1            331            190
           13.0         990.39          +0.40          78.60            6.2            331            209
           14.0         989.70          +0.49          78.16            6.4            332            227
           15.0         988.98          +0.44          77.64            6.5            332            246
           16.0         988.27          +0.41          77.11            6.6            333            265
           17.0         987.56          +0.42          76.98            6.7            334            284
           18.0         986.87          +0.32          76.72            6.6            335            303
           19.0         986.15          +0.25          76.51            6.6            335            322
           20.0         985.49          +0.29          76.31            6.5            335            339
           21.0         984.85          +0.22          76.09            6.5            334            356
           22.0         984.26          +0.20          75.93            6.4            333            372
           23.0         983.72          +0.14          75.52            6.4            332            387
           24.0         983.20          +0.25          75.10            6.4            330            400
           25.0         982.61          +0.31          74.49            6.4            329            416
           26.0         982.00          +0.34          74.18            6.5            328            433
           27.0         981.34          +0.35          73.68            6.6            327            450
           28.0         980.61          +0.59          73.01            6.7            327            470
           29.0         979.82          +0.76          72.06            6.8            328            491
           30.0         979.09          +0.86          70.91            6.8            329            511
           31.0         978.41          +0.99          70.42            6.9            329            529
           32.0         977.78          +0.97          69.78            7.0            329            546
           33.0         977.17          +0.94          69.40            7.0            329            563
           34.0         976.61          +0.93          69.12            7.1            329            578
           35.0         976.05          +0.96          68.85            7.1            328            593
           36.0         975.47          +0.96          68.68            7.0            326            609
           37.0         974.90          +0.88          68.47            7.1            324            624
           38.0         974.36          +0.87          68.29            7.3            323            639
           39.0         973.80          +0.85          68.12            7.6            323            654
           40.0         973.23          +0.82          68.10            7.9            322            669
           41.0         972.70          +0.70          68.02            8.1            321            683
           42.0         972.14          +0.66          67.94            8.1            320            698
           43.0         971.61          +0.64          67.92            8.1            320            713
           44.0         971.05          +0.63          67.88            8.0            320            728
           45.0         970.50          +0.53          67.92            8.0            320            743
           46.0         969.99          +0.51          67.91            7.9            321            757
           47.0         969.48          +0.44          67.94            7.9            320            771
           48.0         968.93          +0.40          67.92            8.0            319            786
           49.0         968.35          +0.40          68.01            8.0            317            802
           50.0         967.77          +0.32          67.99            8.0            316            817
           51.0         967.19          +0.28          68.02            7.9            315            833
           52.0         966.61          +0.27          68.07            8.0            314            849
           53.0         966.08          +0.27          68.12            8.0            314            863
           54.0         965.57          +0.24          68.16            8.0            315            877
           55.0         965.02          +0.25          68.17            7.9            316            892
           56.0         964.46          +0.14          68.20            7.9            317            907
           57.0         963.89          +0.13          68.27            7.8            318            923
           58.0         963.31          +0.05          68.34            7.7            318            939
           59.0         962.76          +0.06          68.38            7.5            318            954
           60.0         962.23          -0.02          68.45            7.3            318            968
           61.0         961.65          -0.02          68.51            7.1            316            984
           62.0         961.07          -0.11          68.59            7.1            315           1000
           63.0         960.45          -0.13          68.70            7.0            313           1017
           64.0         959.85          -0.21          68.75            6.9            313           1033
           65.0         959.27          -0.20          68.85            6.9            313           1049
           66.0         958.72          -0.26          69.00            6.9            313           1064
           67.0         958.17          -0.26          69.06            6.9            313           1079
           68.0         957.64          -0.35          69.12            6.8            312           1094
           69.0         957.07          -0.33          69.21            6.9            313           1109
           70.0         956.47          -0.39          69.25            6.9            313           1126
           71.0         955.87          -0.41          69.35            7.0            314           1142
           72.0         955.27          -0.46          69.40            6.9            314           1159
           73.0         954.65          -0.51          69.45            6.9            315           1176
           74.0         954.03          -0.53          69.55            6.9            315           1193
           75.0         953.41          -0.60          69.70            6.8            315           1210
           76.0         952.81          -0.59          69.81            6.7            314           1226
           77.0         952.24          -0.65          69.90            6.7            314           1242
           78.0         951.69          -0.67          69.98            6.6            313           1257
           79.0         951.17          -0.69          70.08            6.6            313           1271
           80.0         950.65          -0.74          70.14            6.6            313           1286
           81.0         950.10          -0.79          70.25            6.5            314           1301
           82.0         949.53          -0.81          70.34            6.5            314           1317
           83.0         948.98          -0.85          70.43            6.4            315           1332
           84.0         948.43          -0.93          70.54            6.3            316           1347
           85.0         947.89          -0.95          70.67            6.2            318           1362
           86.0         947.36          -0.98          70.79            6.0            319           1377
           87.0         946.84          -0.98          70.93            5.9            320           1391
           88.0         946.30          -1.08          71.06            5.7            321           1406
           89.0         945.73          -1.08          71.14            5.6            322           1422
           90.0         945.16          -1.09          71.18            5.6            322           1438
           91.0         944.52          -1.09          71.16            5.7            322           1455
           92.0         943.88          -1.08          71.19            5.8            322           1473
           93.0         943.21          -1.12          71.22            5.9            323           1491
           94.0         942.55          -1.11          71.33            6.1            323           1510
           95.0         941.89          -1.11          71.33            6.1            323           1528
           96.0         941.28          -1.12          71.35            6.1            324           1545
           97.0         940.66          -1.21          71.34            6.0            326           1562
           98.0         940.10          -1.22          71.37            5.9            328           1578
           99.0         939.53          -1.23          71.47            5.9            330           1594
          100.0         938.96          -1.27          71.52            5.8            332           1610
          101.0         938.45          -1.28          71.59            5.7            333           1624
          102.0         937.93          -1.37          71.61            5.6            335           1638
          103.0         937.39          -1.37          71.70            5.6            335           1653
          104.0         936.87          -1.45          71.73            5.6            336           1668
          105.0         936.38          -1.47          71.80            5.7            337           1682
          106.0         935.88          -1.48          71.89            5.8            339           1695
          107.0         935.41          -1.52          71.93            5.9            341           1709
          108.0         934.97          -1.51          72.00            6.0            342           1721
          109.0         934.52          -1.59          72.00            6.0            343           1734
          110.0         934.07          -1.61          72.02            6.0            344           1746
          111.0         933.60          -1.63          72.06            6.1            345           1759
          112.0         933.11          -1.71          72.10            6.2            346           1773
          113.0         932.59          -1.72          72.25            6.4            347           1787
          114.0         932.06          -1.74          72.32            6.5            347           1802
          115.0         931.49          -1.80          72.36            6.6            348           1818
          116.0         930.93          -1.76          72.41            6.7            349           1834
          117.0         930.39          -1.84          72.48            6.8            349           1849
          118.0         929.88          -1.87          72.50            6.8            350           1864
          119.0         929.36          -1.95          72.60            7.0            350           1878
          120.0         928.87          -1.98          72.67            7.0            350           1892
          121.0         928.36          -2.00          72.76            7.2            351           1906
          122.0         927.82          -2.05          72.86            7.4            351           1921
          123.0         927.26          -2.09          72.94            7.6            351           1937
          124.0         926.72          -2.11          73.05            7.7            351           1952
          125.0         926.14          -2.13          73.16            7.8            350           1969
          126.0         925.56          -2.14          73.27            8.0            351           1985
          127.0         924.95          -2.24          73.32            8.1            352           2002
          128.0         924.32          -2.27          73.41            8.2            353           2020
          129.0         923.67          -2.27          73.48            8.2            354           2038
          130.0         923.07          -2.29          73.60            8.1            355           2055
          131.0         922.49          -2.27          73.64            8.1            355           2072
          132.0         921.95          -2.35          73.67            8.0            355           2087
          133.0         921.46          -2.32          73.67            8.0            355           2100
          134.0         921.00          -2.39          73.69            8.0            354           2114
          135.0         920.51          -2.41          73.76            8.2            353           2127
          136.0         919.98          -2.42          73.73            8.3            352           2142
          137.0         919.45          -2.40          73.74            8.5            352           2158
          138.0         918.89          -2.46          73.73            8.6            353           2173
          139.0         918.33          -2.48          73.72            8.7            354           2189
          140.0         917.76          -2.47          73.75            9.0            354           2205
          141.0         917.20          -2.43          73.66            9.2            355           2221
          142.0         916.65          -2.49          73.59            9.5            354           2237
          143.0         916.09          -2.55          73.57            9.7            354           2253
          144.0         915.51          -2.52          73.64            9.9            353           2269
          145.0         914.96          -2.54          73.58           10.0            353           2285
          146.0         914.41          -2.60          73.51           10.1            353           2301
          147.0         913.83          -2.60          73.46           10.1            353           2317
          148.0         913.25          -2.60          73.38           10.2            353           2333
          149.0         912.68          -2.60          73.21           10.1            352           2350
          150.0         912.09          -2.59          72.91           10.0            352           2367
          151.0         911.49          -2.57          72.53           10.0            351           2384
          152.0         910.91          -2.51          72.40            9.9            350           2400
          153.0         910.22          -2.53          72.44            9.9            350           2420
          154.0         909.53          -2.57          72.43           10.0            350           2440
          155.0         908.82          -2.59          72.46           10.3            350           2460
          156.0         908.16          -2.72          72.45           10.4            350           2479
          157.0         907.51          -2.75          72.44           10.5            350           2498
          158.0         906.92          -2.82          72.49           10.4            349           2515
          159.0         906.35          -2.84          72.43           10.4            349           2531
          160.0         905.77          -2.87          72.42           10.4            349           2547
          161.0         905.18          -2.91          72.42           10.5            349           2564
          162.0         904.61          -2.93          72.57           10.7            348           2581
          163.0         904.06          -2.99          72.64           10.9            347           2597
          164.0         903.49          -3.07          72.72           11.0            346           2613
          165.0         902.90          -3.10          72.82           11.1            344           2630
          166.0         902.30          -3.12          72.94           11.1            344           2647
          167.0         901.69          -3.21          73.08           11.1            343           2665
          168.0         901.05          -3.24          73.23           11.1            343           2683
          169.0         900.44          -3.28          73.44           11.1            343           2701
          170.0         899.87          -3.36          73.58           11.1            344           2717
          171.0         899.27          -3.35          73.66           11.1            345           2734
          172.0         898.66          -3.38          73.73           11.1            345           2752
          173.0         898.00          -3.45          73.76           11.0            345           2771
          174.0         897.37          -3.41          73.81           11.0            345           2790
          175.0         896.75          -3.46          73.83           10.9            344           2807
          176.0         896.16          -3.49          73.82           10.9            343           2824
