        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         989.10         +13.70          16.00           30.0            270
            656           41.7         965.77         +12.32          16.21           35.0            253
           1313           83.5         942.90         +11.11          16.25           35.0            253
           2626          167.0         898.46          +8.69          16.31           35.0            253
           3938          250.4         855.80          +6.27          16.38           35.0            253
           5250          333.9         814.81          +3.85          16.44           35.0            253
           6563          417.4         775.43          +1.42          16.51           35.0            253
           7875          500.8         737.66          -1.00          16.58           35.0            253
           9843          626.1         683.82          -4.63          16.68           35.0            253
          13121          834.7         601.35         -10.68          16.84           35.0            253
          16398         1043.4         527.24         -16.73          17.00           35.0            253
          19675         1252.1         460.82         -22.78          17.17           35.0            253
          26226         1669.5         348.56         -34.89          17.51           35.0            253
          32771         2086.8         259.89         -46.99          17.87           35.0            253
          39313         2505.6         190.71         -57.77           4.96           37.4            250
          45851         2949.7         139.11         -57.52           4.52           56.7            262
          58914         3823.2          73.88         -58.37           4.17           88.3            265
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
