        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         989.10         +13.70           0.00           60.0            270
             10            0.6         988.74         +13.65           0.06           63.3            261
             20            1.3         988.38         +13.61           0.10           65.9            256
             30            1.9         988.02         +13.60           0.10           65.9            256
             40            2.6         987.66         +13.59           0.10           65.9            256
             50            3.2         987.31         +13.57           0.10           65.9            256
             60            3.8         986.95         +13.56           0.10           65.9            256
             70            4.5         986.59         +13.54           0.10           65.9            256
             80            5.1         986.23         +13.53           0.10           65.9            256
             90            5.7         985.87         +13.51           0.10           65.9            256
            100            6.4         985.51         +13.50           0.10           65.9            256
            110            7.0         985.15         +13.49           0.10           65.9            256
            120            7.7         984.80         +13.47           0.10           65.9            256
            130            8.3         984.44         +13.46           0.10           65.9            256
            140            8.9         984.08         +13.44           0.10           65.9            256
            150            9.6         983.72         +13.43           0.10           65.9            256
            160           10.2         983.37         +13.41           0.10           65.9            256
            170           10.8         983.01         +13.40           0.10           65.9            256
            180           11.5         982.65         +13.38           0.10           65.9            256
            190           12.1         982.29         +13.37           0.10           65.9            256
            200           12.8         981.94         +13.36           0.10           65.9            256
            210           13.4         981.58         +13.34           0.10           65.9            256
            220           14.0         981.22         +13.33           0.10           65.9            256
            230           14.7         980.87         +13.31           0.10           65.9            256
            240           15.3         980.51         +13.30           0.10           65.9            256
            250           15.9         980.15         +13.28           0.10           65.9            256
            260           16.6         979.80         +13.27           0.10           65.9            256
            270           17.2         979.44         +13.25           0.10           65.9            256
            280           17.9         979.08         +13.24           0.10           65.9            256
            290           18.5         978.73         +13.23           0.10           65.9            256
            300           19.1         978.37         +13.21           0.10           65.9            256
            310           19.8         978.02         +13.20           0.10           65.9            256
            320           20.4         977.66         +13.18           0.10           65.9            256
            330           21.0         977.31         +13.17           0.10           65.9            256
            340           21.7         976.95         +13.15           0.10           65.9            256
            350           22.3         976.59         +13.14           0.10           65.9            256
            360           23.0         976.24         +13.13           0.10           65.9            256
            370           23.6         975.88         +13.11           0.10           65.9            256
            380           24.2         975.53         +13.10           0.10           65.9            256
            390           24.9         975.17         +13.08           0.10           65.9            256
            400           25.5         974.82         +13.07           0.10           65.9            256
            410           26.1         974.46         +13.05           0.10           65.9            256
            420           26.8         974.11         +13.04           0.10           65.9            256
            430           27.4         973.75         +13.02           0.10           65.9            256
            440           28.1         973.40         +13.01           0.10           65.9            256
            450           28.7         973.05         +13.00           0.10           65.9            256
            460           29.3         972.69         +12.98           0.10           65.9            256
            470           30.0         972.34         +12.97           0.10           65.9            256
            480           30.6         971.98         +12.95           0.10           65.9            256
            490           31.2         971.63         +12.94           0.10           65.9            256
            500           31.9         971.28         +12.92           0.10           65.9            256
            510           32.5         970.92         +12.91           0.10           65.9            256
            520           33.2         970.57         +12.90           0.10           65.9            256
            530           33.8         970.22         +12.88           0.10           65.9            256
            540           34.4         969.86         +12.87           0.10           65.9            256
            550           35.1         969.51         +12.85           0.10           65.9            256
            560           35.7         969.16         +12.84           0.10           65.9            256
            570           36.3         968.80         +12.82           0.10           65.9            256
            580           37.0         968.45         +12.81           0.10           65.9            256
            590           37.6         968.10         +12.79           0.10           65.9            256
            600           38.3         967.75         +12.78           0.10           65.9            256
            610           38.9         967.39         +12.77           0.10           65.9            256
            620           39.5         967.04         +12.75           0.10           65.9            256
