          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00         +11.00           0.10           1837           65.9            256          117.1
         850.00          +7.70           0.22           4131           65.9            256          263.3
         700.00          +0.27           0.49           9298           65.9            256          592.8
         500.00         -12.16           0.94          17931           66.0            256         1143.7
         400.00         -20.09           1.23          23438           66.0            256         1495.3
         300.00         -29.97           1.60          30292           66.1            256         1933.3
         250.00         -36.04           1.82          34497           66.1            256         2202.0
         200.00         -43.26           2.10          39500           66.1            256         2522.0
         150.00         -52.24           2.47          45727           66.2            256         2920.5
         100.00         -64.33           3.05          54091           66.2            256         3456.1
          70.00         -71.79           5.57          61085           77.6            258         3905.3
          50.00         -73.02           6.60          67599           95.8            253         4281.1
          30.00         -73.37          10.66          77542          105.8            260         4859.0
          20.00         -60.95           2.50          85388          109.3            263         5369.2
          10.00         -54.67           2.90          99601          133.9            277         6159.4
