        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         993.00          +7.00           5.00           14.0            320
            656           39.7         969.01          +5.63           8.41           58.1            308
           1313           79.4         945.50          +4.26          11.79           58.1            308
           2625          158.9         899.84          +1.53          18.55           58.1            308
           3938          238.3         855.97          -1.21          25.32           58.1            308
           5250          317.7         813.84          -3.95          32.10           58.1            308
           6562          397.2         773.39          -6.69          38.88           58.1            308
           7875          476.6         734.56          -9.60          46.31           58.0            308
           9842          595.8         679.24         -13.70          56.63           58.0            308
          13121          794.3         594.49         -20.54          73.87           58.1            308
          16399         1081.2         518.32         -28.16          72.56           65.4            311
          19675         1459.5         450.17         -34.30          60.46           64.3            315
          26225         2156.5         335.67         -48.74          51.72           88.0            317
          32771         2846.9         245.04         -62.51          46.49           92.8            310
          39313         3439.4         176.76         -65.80          29.54           81.2            311
          45851         4077.3         127.33         -64.99          30.85          103.5            299
          58914         5288.8          66.70         -60.46          36.00          108.1            305
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
