        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         993.00          +7.00           5.00           14.0            320
             10            0.6         992.63          +6.98           5.06           40.6            310
             20            1.2         992.26          +6.96           5.12           58.1            308
             30            1.8         991.89          +6.94           5.18           58.1            308
             40            2.4         991.52          +6.92           5.23           58.1            308
             50            3.0         991.16          +6.90           5.28           58.1            308
             60            3.6         990.79          +6.87           5.34           58.1            308
             70            4.2         990.42          +6.85           5.39           58.1            308
             80            4.8         990.05          +6.83           5.44           58.1            308
             90            5.4         989.68          +6.81           5.49           58.1            308
            100            6.1         989.31          +6.79           5.54           58.1            308
            110            6.7         988.95          +6.77           5.59           58.1            308
            120            7.3         988.58          +6.75           5.64           58.1            308
            130            7.9         988.21          +6.73           5.70           58.1            308
            140            8.5         987.84          +6.71           5.75           58.1            308
            150            9.1         987.47          +6.69           5.80           58.1            308
            160            9.7         987.11          +6.67           5.85           58.1            308
            170           10.3         986.74          +6.65           5.90           58.1            308
            180           10.9         986.37          +6.62           5.95           58.1            308
            190           11.5         986.01          +6.60           6.01           58.1            308
            200           12.1         985.64          +6.58           6.06           58.1            308
            210           12.7         985.27          +6.56           6.11           58.1            308
            220           13.3         984.90          +6.54           6.16           58.1            308
            230           13.9         984.54          +6.52           6.21           58.1            308
            240           14.5         984.17          +6.50           6.26           58.1            308
            250           15.1         983.81          +6.48           6.31           58.1            308
            260           15.7         983.44          +6.46           6.37           58.1            308
            270           16.3         983.07          +6.44           6.42           58.1            308
            280           16.9         982.71          +6.42           6.47           58.1            308
            290           17.6         982.34          +6.40           6.52           58.1            308
            300           18.2         981.97          +6.37           6.57           58.1            308
            310           18.8         981.61          +6.35           6.62           58.1            308
            320           19.4         981.24          +6.33           6.67           58.1            308
            330           20.0         980.88          +6.31           6.73           58.1            308
            340           20.6         980.51          +6.29           6.78           58.1            308
            350           21.2         980.15          +6.27           6.83           58.1            308
            360           21.8         979.78          +6.25           6.88           58.1            308
            370           22.4         979.42          +6.23           6.93           58.1            308
            380           23.0         979.05          +6.21           6.98           58.1            308
            390           23.6         978.69          +6.19           7.04           58.1            308
            400           24.2         978.32          +6.17           7.09           58.1            308
            410           24.8         977.96          +6.14           7.14           58.1            308
            420           25.4         977.59          +6.12           7.19           58.1            308
            430           26.0         977.23          +6.10           7.24           58.1            308
            440           26.6         976.86          +6.08           7.29           58.1            308
            450           27.2         976.50          +6.06           7.34           58.1            308
            460           27.8         976.13          +6.04           7.40           58.1            308
            470           28.4         975.77          +6.02           7.45           58.1            308
            480           29.1         975.41          +6.00           7.50           58.1            308
            490           29.7         975.04          +5.98           7.55           58.1            308
            500           30.3         974.68          +5.96           7.60           58.1            308
            510           30.9         974.32          +5.94           7.65           58.1            308
            520           31.5         973.95          +5.92           7.71           58.1            308
            530           32.1         973.59          +5.89           7.76           58.1            308
            540           32.7         973.23          +5.87           7.81           58.1            308
            550           33.3         972.86          +5.85           7.86           58.1            308
            560           33.9         972.50          +5.83           7.91           58.1            308
            570           34.5         972.14          +5.81           7.96           58.1            308
            580           35.1         971.77          +5.79           8.01           58.1            308
            590           35.7         971.41          +5.77           8.07           58.1            308
            600           36.3         971.05          +5.75           8.12           58.1            308
            610           36.9         970.69          +5.73           8.17           58.1            308
            620           37.5         970.32          +5.71           8.22           58.1            308
