          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +3.05          14.79           1896           58.1            308          114.7
         850.00          -1.59          26.26           4121           58.1            308          249.4
         700.00         -12.13          52.68           9089           58.0            308          550.2
         500.00         -29.86          64.69          17243           64.1            312         1209.9
         400.00         -38.64          50.44          22362           85.3            316         1864.2
         300.00         -54.49          53.35          28617           91.7            315         2439.5
         250.00         -62.97          51.68          32367           92.3            312         2794.5
         200.00         -66.58          32.09          36861           80.2            327         3208.5
         150.00         -66.13          27.86          42586           90.3            304         3757.1
         100.00         -64.13          33.81          50709          101.0            297         4532.5
          70.00         -60.06          37.51          57925          105.8            302         5218.9
          50.00         -65.69          42.67          64725          112.6            304         5747.4
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
