        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         989.90         +12.20          36.00           10.0            270
            656           36.3         966.29          +8.87          27.74           17.2            263
           1313           72.2         943.11          +7.09          30.69           17.1            265
           2626          146.3         897.97          +3.65          32.40           19.2            279
           3938          215.4         854.50          +0.23          40.45           26.8            288
           5250          281.1         812.61          -3.48          46.96           29.9            292
           6563          357.6         772.23          -6.72          47.25           36.3            301
           7875          446.9         733.46          -8.41           5.54           48.1            299
           9843          583.5         678.67         -10.44           4.80           38.5            286
          13121          766.4         595.04         -16.43           3.77           38.1            289
          16398          951.7         519.91         -24.00           3.30           38.7            288
          19675         1125.4         452.30         -32.53           5.90           39.7            294
          26226         1463.2         337.23         -49.07          92.43           45.0            294
          32771         1771.5         246.14         -63.70          39.87           62.2            285
          39313         2126.0         179.27         -52.66           0.10           85.5            283
          45851         2473.1         131.56         -55.53           0.84           80.7            287
          58914         3212.1          69.89         -57.99           1.79          100.5            278
          71961         4046.9          37.70         -55.39           3.20           88.6            297
          84992         4770.0          20.20         -54.27           2.85          111.8            279
           ////           ////           ////           ////           ////           ////           ////
