           Time          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
              s             mB             °C              %            kts              °             ft
---------------------------------------------------------------------------------------------------------
            0.0         989.90         +12.20          36.00           10.0            270              0
            1.0         989.84         +11.14          35.26           16.1            261              2
            2.0         989.49         +10.63          34.87           16.4            262             11
            3.0         989.02         +10.43          34.51           16.8            262             24
            4.0         988.49         +10.32          34.59           17.1            262             39
            5.0         987.92         +10.11          33.90           17.3            263             55
            6.0         987.31         +10.06          33.09           17.7            263             72
            7.0         986.67          +9.99          33.65           18.0            263             89
            8.0         986.00          +9.95          35.99           18.2            263            108
            9.0         985.30          +9.90          37.00           18.3            263            127
           10.0         984.59          +9.86          35.89           18.2            263            147
           11.0         983.88          +9.82          34.24           18.0            263            166
           12.0         983.26          +9.72          34.35           17.9            263            184
           13.0         982.59          +9.64          36.31           17.9            263            202
           14.0         981.91          +9.61          36.60           17.8            263            221
           15.0         981.21          +9.59          36.87           17.8            264            240
           16.0         980.50          +9.48          36.81           17.8            264            260
           17.0         979.78          +9.41          37.04           17.7            264            280
           18.0         979.06          +9.32          36.78           17.6            264            300
           19.0         978.34          +9.25          35.65           17.6            264            320
           20.0         977.62          +9.29          32.74           17.8            263            340
           21.0         976.90          +9.45          30.07           18.0            264            360
           22.0         976.18          +9.50          26.81           18.0            264            380
           23.0         975.45          +9.39          26.03           17.9            264            400
           24.0         974.72          +9.37          30.86           18.0            263            420
           25.0         974.00          +9.34          31.54           17.9            263            440
           26.0         973.29          +9.22          31.71           17.8            263            460
           27.0         972.57          +9.19          31.69           17.7            263            480
           28.0         971.87          +9.17          31.82           17.6            263            500
           29.0         971.17          +9.13          31.65           17.5            263            520
           30.0         970.48          +9.01          31.50           17.3            262            539
           31.0         969.80          +9.01          31.00           17.4            262            558
           32.0         969.12          +9.00          30.24           17.4            262            577
           33.0         968.46          +8.99          29.80           17.5            263            596
           34.0         967.79          +8.92          28.96           17.5            263            614
           35.0         967.12          +8.89          28.41           17.3            264            633
           36.0         966.46          +8.87          27.96           17.2            263            652
           37.0         965.79          +8.86          27.08           17.2            263            670
           38.0         965.13          +8.86          27.16           17.4            263            689
           39.0         964.47          +8.84          27.90           17.6            263            707
           40.0         963.81          +8.70          28.50           17.9            264            726
           41.0         963.18          +8.67          28.69           17.9            264            744
           42.0         962.53          +8.68          28.89           17.8            264            762
           43.0         961.89          +8.62          28.47           17.7            264            780
           44.0         961.24          +8.55          28.44           17.7            264            798
           45.0         960.59          +8.49          28.65           17.8            263            817
           46.0         959.94          +8.38          29.04           17.8            263            835
           47.0         959.30          +8.34          29.12           17.7            262            853
           48.0         958.65          +8.23          29.54           17.7            262            871
           49.0         958.01          +8.19          29.96           17.8            263            889
           50.0         957.36          +8.15          30.66           17.7            263            908
           51.0         956.71          +8.04          30.29           17.5            263            926
           52.0         956.06          +8.02          30.09           17.4            263            944
           53.0         955.42          +7.97          29.89           17.5            263            963
           54.0         954.77          +7.93          29.79           17.6            263            981
           55.0         954.13          +7.90          29.73           17.6            263            999
           56.0         953.48          +7.77          30.23           17.5            263           1017
           57.0         952.84          +7.79          31.04           17.6            264           1036
           58.0         952.19          +7.73          30.83           17.6            264           1054
           59.0         951.54          +7.69          30.24           17.6            263           1072
           60.0         950.90          +7.68          30.01           17.6            263           1091
           61.0         950.27          +7.64          29.00           17.6            263           1109
           62.0         949.63          +7.63          28.72           17.6            263           1127
           63.0         948.99          +7.58          29.30           17.5            263           1145
           64.0         948.36          +7.56          30.15           17.4            263           1163
           65.0         947.73          +7.47          30.11           17.4            263           1181
           66.0         947.09          +7.50          30.12           17.4            263           1199
           67.0         946.44          +7.41          30.02           17.2            263           1218
           68.0         945.79          +7.39          30.08           17.0            263           1236
           69.0         945.14          +7.30          30.34           16.9            264           1254
           70.0         944.50          +7.27          30.46           17.0            265           1273
           71.0         943.86          +7.13          30.59           17.0            265           1291
           72.0         943.22          +7.10          30.67           17.0            265           1309
           73.0         942.58          +7.09          30.78           17.1            264           1328
           74.0         941.93          +7.00          30.46           17.3            264           1346
           75.0         941.29          +6.96          30.22           17.4            263           1365
           76.0         940.65          +6.95          30.53           17.4            263           1383
           77.0         940.00          +6.89          30.96           17.4            264           1401
           78.0         939.35          +6.81          31.20           17.5            265           1420
           79.0         938.70          +6.78          31.13           17.4            265           1439
           80.0         938.04          +6.71          30.90           17.2            266           1458
           81.0         937.39          +6.65          30.98           17.0            266           1476
           82.0         936.73          +6.60          31.32           16.8            266           1495
           83.0         936.07          +6.59          31.31           16.8            265           1514
           84.0         935.42          +6.48          31.20           16.8            266           1533
           85.0         934.76          +6.37          31.07           17.0            266           1552
           86.0         934.11          +6.42          30.82           17.2            266           1571
           87.0         933.45          +6.35          31.34           17.3            266           1590
           88.0         932.81          +6.33          31.06           17.4            266           1608
           89.0         932.16          +6.23          31.17           17.4            267           1627
           90.0         931.52          +6.20          31.15           17.4            267           1645
           91.0         930.88          +6.09          30.97           17.6            267           1664
           92.0         930.24          +6.07          31.50           17.8            266           1682
           93.0         929.60          +6.02          30.76           18.0            266           1701
           94.0         928.97          +6.01          30.55           18.2            266           1719
           95.0         928.34          +5.93          30.32           18.3            266           1737
           96.0         927.72          +5.87          30.33           18.6            267           1755
           97.0         927.10          +5.83          30.11           18.8            267           1773
           98.0         926.49          +5.74          30.02           18.8            268           1791
           99.0         925.87          +5.79          29.52           18.7            268           1808
          100.0         925.26          +5.74          29.35           18.6            269           1826
          101.0         924.65          +5.63          29.92           18.5            270           1844
          102.0         924.04          +5.66          30.70           18.5            270           1862
          103.0         923.43          +5.53          31.44           18.5            270           1879
          104.0         922.83          +5.51          31.82           18.5            269           1897
          105.0         922.22          +5.50          31.57           18.5            269           1914
          106.0         921.62          +5.39          30.92           18.6            269           1932
          107.0         921.02          +5.37          31.16           18.7            270           1949
          108.0         920.41          +5.35          30.99           18.8            270           1967
          109.0         919.80          +5.27          31.14           18.9            270           1985
          110.0         919.19          +5.31          31.66           18.9            270           2003
          111.0         918.58          +5.12          31.54           18.9            270           2020
          112.0         917.97          +5.11          31.99           18.9            271           2038
          113.0         917.36          +5.09          31.98           18.8            272           2056
          114.0         916.77          +5.08          31.75           18.6            272           2073
          115.0         916.17          +4.97          31.48           18.5            273           2090
          116.0         915.58          +4.92          31.46           18.4            273           2108
          117.0         914.99          +4.94          31.39           18.2            273           2125
          118.0         914.41          +4.90          31.19           18.3            274           2142
          119.0         913.83          +4.81          32.18           18.5            275           2159
          120.0         913.25          +4.78          31.97           18.7            275           2176
          121.0         912.67          +4.67          31.32           18.7            274           2193
          122.0         912.09          +4.65          31.67           18.6            274           2210
          123.0         911.50          +4.56          32.39           18.6            273           2227
          124.0         910.90          +4.53          32.27           18.6            273           2245
          125.0         910.31          +4.49          32.15           18.5            274           2262
          126.0         909.74          +4.41          32.11           18.3            274           2279
          127.0         909.16          +4.41          31.81           18.3            274           2296
          128.0         908.58          +4.42          30.80           18.4            273           2313
          129.0         908.01          +4.44          29.77           18.4            273           2329
          130.0         907.43          +4.43          29.49           18.5            272           2346
          131.0         906.86          +4.42          30.43           18.6            272           2363
          132.0         906.29          +4.32          31.13           18.8            273           2380
          133.0         905.71          +4.29          31.11           18.9            273           2397
          134.0         905.15          +4.28          31.33           18.8            274           2414
          135.0         904.59          +4.16          31.10           18.7            275           2430
          136.0         904.02          +4.09          31.38           18.6            275           2447
          137.0         903.46          +4.13          31.71           18.6            275           2464
          138.0         902.89          +4.04          31.56           18.6            275           2480
          139.0         902.32          +4.03          31.57           18.6            275           2497
          140.0         901.75          +4.02          31.42           18.7            275           2514
          141.0         901.16          +3.91          31.71           18.9            275           2531
          142.0         900.57          +3.88          32.07           19.2            276           2549
          143.0         899.97          +3.78          31.88           19.4            277           2566
          144.0         899.37          +3.76          31.99           19.5            278           2584
          145.0         898.76          +3.73          32.04           19.4            278           2602
          146.0         898.14          +3.67          32.44           19.2            279           2621
          147.0         897.52          +3.61          32.29           19.1            279           2639
          148.0         896.90          +3.58          32.85           19.1            279           2657
          149.0         896.29          +3.51          33.03           19.2            279           2676
          150.0         895.68          +3.53          32.87           19.3            279           2694
          151.0         895.02          +3.37          33.15           19.3            279           2713
          152.0         894.37          +3.38          33.06           19.3            280           2733
          153.0         893.72          +3.31          33.26           19.3            280           2752
          154.0         893.08          +3.26          33.37           19.5            280           2771
          155.0         892.44          +3.19          33.91           19.5            280           2790
          156.0         891.80          +3.15          34.10           19.4            281           2809
          157.0         891.17          +3.02          34.52           19.3            281           2828
          158.0         890.53          +3.01          34.95           19.5            281           2847
          159.0         889.90          +3.00          34.63           19.6            281           2866
          160.0         889.27          +2.97          34.61           19.7            280           2885
          161.0         888.64          +2.97          34.67           19.7            281           2903
          162.0         888.01          +2.85          35.00           19.9            281           2922
          163.0         887.39          +2.82          35.27           20.1            282           2941
          164.0         886.76          +2.78          35.63           20.4            283           2960
          165.0         886.13          +2.78          35.83           20.5            283           2978
          166.0         885.51          +2.69          35.90           20.6            283           2997
          167.0         884.89          +2.60          35.43           20.4            284           3016
          168.0         884.28          +2.57          35.46           20.3            284           3034
          169.0         883.68          +2.49          35.71           20.5            285           3052
          170.0         883.09          +2.51          35.68           20.7            285           3069
          171.0         882.50          +2.42          36.07           20.7            285           3087
          172.0         881.92          +2.40          36.36           20.8            285           3105
          173.0         881.33          +2.40          36.40           21.1            285           3122
          174.0         880.74          +2.29          36.00           21.4            286           3140
          175.0         880.14          +2.27          36.18           21.7            285           3158
          176.0         879.54          +2.17          36.24           21.9            285           3176
