Sample#,Date+Time,DateTime,Fl Sec,Az,El,Press,TAir,Hum,Lat,Long,Alt,Freq,RSSI,F Offs,Az Tr Offs,El Tr Offs,Sys V,Sys I,Az I,El I,MCU Stat,Rx Stat,SCA Stat,POST,SAA BIT,Rx BIT,MCU BIT,SCA BIT,CDU1 BIT,CDU2 BIT,State,Flags,THum
0,2017-09-11 10:37:14,42989.4425289,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,0,999999999.00
1,2017-09-11 10:37:15,42989.4425405,999999999.0000000,999999999.000,999999999.000,844.990,-0.940,56.480,-50.314087,-72.641258,1472.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-0.94
2,2017-09-11 10:37:16,42989.4425521,999999999.0000000,999999999.000,999999999.000,844.790,-1.000,56.510,-50.314049,-72.641098,1476.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-1.00
3,2017-09-11 10:37:17,42989.4425637,999999999.0000000,999999999.000,999999999.000,844.460,-1.020,56.510,-50.314022,-72.640923,1481.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-1.02
4,2017-09-11 10:37:18,42989.4425752,999999999.0000000,999999999.000,999999999.000,844.110,-1.160,56.820,-50.314018,-72.640747,1485.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-1.16
5,2017-09-11 10:37:19,42989.4425868,999999999.0000000,999999999.000,999999999.000,843.710,-1.220,57.240,-50.314041,-72.640556,1490.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-1.22
6,2017-09-11 10:37:20,42989.4425984,999999999.0000000,999999999.000,999999999.000,843.230,-1.400,57.550,-50.314060,-72.640350,1494.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-1.40
7,2017-09-11 10:37:21,42989.4426100,999999999.0000000,999999999.000,999999999.000,842.740,-1.360,57.700,-50.314060,-72.640137,1498.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-1.36
8,2017-09-11 10:37:22,42989.4426215,999999999.0000000,999999999.000,999999999.000,842.310,-1.410,57.740,-50.314045,-72.639946,1503.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-1.41
9,2017-09-11 10:37:23,42989.4426331,999999999.0000000,999999999.000,999999999.000,841.900,-1.450,57.940,-50.314053,-72.639740,1505.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-1.45
