        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         989.10         +13.70           0.00            0.0              0
            656           42.2         965.71         +11.26           8.66           22.4            262
           1313           84.3         942.70          +8.99          17.28           22.4            262
           2625          168.7         897.81          +4.45          34.54           22.4            262
           3938          253.0         854.39          -0.10          51.80           22.4            262
           5250          336.8         812.42          -4.44          66.06           31.4            266
           6562          573.3         772.21          -2.68          26.95           47.3            248
           7875          676.8         733.95          -6.12          27.41           45.5            247
           9842          770.7         679.27         -11.19          34.99           46.6            228
          13121         1012.2         595.32         -16.97          34.11           45.4            239
          16399         1373.1         520.31         -24.24          23.41           36.0            220
          19675         1570.3         452.46         -33.66          40.88           39.7            224
          26225         2155.2         336.94         -48.96          24.46           67.6            218
          32771         2738.7         247.08         -59.86          10.56           62.4            214
          39313         3232.2         179.79         -57.04           0.87           61.3            261
          45851         3722.6         131.57         -56.41           0.10           58.9            268
          58914         4713.3          69.88         -59.50           0.10           90.1            275
          71961         5599.1          37.04         -62.51           0.23           93.6            279
          84992         6348.2          19.36         -58.86           0.10          121.4            267
          98006         7007.2          10.43         -56.13           1.88          117.5            285
