        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         989.10         +13.70           0.00            0.0              0
             10            0.6         988.74         +13.55           0.15           14.4            262
             20            1.3         988.38         +13.46           0.29           22.4            262
             30            1.9         988.02         +13.42           0.43           22.4            262
             40            2.6         987.66         +13.39           0.56           22.4            262
             50            3.2         987.30         +13.35           0.69           22.4            262
             60            3.9         986.95         +13.32           0.82           22.4            262
             70            4.5         986.59         +13.28           0.96           22.4            262
             80            5.1         986.23         +13.25           1.09           22.4            262
             90            5.8         985.87         +13.21           1.22           22.4            262
            100            6.4         985.51         +13.18           1.35           22.4            262
            110            7.1         985.15         +13.15           1.48           22.4            262
            120            7.7         984.79         +13.11           1.61           22.4            262
            130            8.4         984.44         +13.08           1.74           22.4            262
            140            9.0         984.08         +13.04           1.88           22.4            262
            150            9.6         983.72         +13.01           2.01           22.4            262
            160           10.3         983.36         +12.97           2.14           22.4            262
            170           10.9         983.00         +12.94           2.27           22.4            262
            180           11.6         982.65         +12.90           2.40           22.4            262
            190           12.2         982.29         +12.87           2.53           22.4            262
            200           12.9         981.93         +12.83           2.66           22.4            262
            210           13.5         981.57         +12.80           2.80           22.4            262
            220           14.1         981.22         +12.77           2.93           22.4            262
            230           14.8         980.86         +12.73           3.06           22.4            262
            240           15.4         980.50         +12.70           3.19           22.4            262
            250           16.1         980.14         +12.66           3.32           22.4            262
            260           16.7         979.79         +12.63           3.45           22.4            262
            270           17.4         979.43         +12.59           3.58           22.4            262
            280           18.0         979.07         +12.56           3.71           22.4            262
            290           18.6         978.72         +12.52           3.85           22.4            262
            300           19.3         978.36         +12.49           3.98           22.4            262
            310           19.9         978.00         +12.45           4.11           22.4            262
            320           20.6         977.65         +12.42           4.24           22.4            262
            330           21.2         977.29         +12.38           4.37           22.4            262
            340           21.8         976.93         +12.35           4.50           22.4            262
            350           22.5         976.58         +12.32           4.63           22.4            262
            360           23.1         976.22         +12.28           4.77           22.4            262
            370           23.8         975.86         +12.25           4.90           22.4            262
            380           24.4         975.51         +12.21           5.03           22.4            262
            390           25.1         975.15         +12.18           5.16           22.4            262
            400           25.7         974.80         +12.14           5.29           22.4            262
            410           26.3         974.44         +12.11           5.42           22.4            262
            420           27.0         974.08         +12.07           5.55           22.4            262
            430           27.6         973.73         +12.04           5.69           22.4            262
            440           28.3         973.37         +12.00           5.82           22.4            262
            450           28.9         973.02         +11.97           5.95           22.4            262
            460           29.6         972.66         +11.93           6.08           22.4            262
            470           30.2         972.31         +11.90           6.21           22.4            262
            480           30.8         971.95         +11.87           6.34           22.4            262
            490           31.5         971.60         +11.83           6.47           22.4            262
            500           32.1         971.24         +11.80           6.61           22.4            262
            510           32.8         970.89         +11.76           6.74           22.4            262
            520           33.4         970.53         +11.73           6.87           22.4            262
            530           34.1         970.18         +11.69           7.00           22.4            262
            540           34.7         969.82         +11.66           7.13           22.4            262
            550           35.3         969.47         +11.62           7.26           22.4            262
            560           36.0         969.11         +11.59           7.39           22.4            262
            570           36.6         968.76         +11.55           7.53           22.4            262
            580           37.3         968.41         +11.52           7.66           22.4            262
            590           37.9         968.05         +11.49           7.79           22.4            262
            600           38.6         967.70         +11.45           7.92           22.4            262
            610           39.2         967.34         +11.42           8.05           22.4            262
            620           39.8         966.99         +11.38           8.18           22.4            262
