          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +7.21          24.02           1825           22.4            262          117.3
         850.00          -0.56          53.59           4073           22.4            261          261.7
         700.00          -9.31          31.49           9083           46.3            236          738.0
         500.00         -26.92          26.27          17345           37.7            220         1435.0
         400.00         -40.11          18.00          22468           48.2            222         1853.6
         300.00         -51.54          12.54          28726           84.2            203         2514.2
         250.00         -59.20           9.91          32530           65.5            213         2726.0
         200.00         -58.21           1.39          37107           57.4            247         3052.7
         150.00         -55.23           0.10          43110           60.7            269         3536.5
         100.00         -60.16           0.10          51572           59.9            283         4155.5
          70.00         -59.51           0.10          58880           90.1            275         4711.3
          50.00         -58.19           0.10          65829           81.2            280         5232.0
          30.00         -66.92           0.25          76172           96.8            280         5789.3
          20.00         -60.76           0.10          84323          121.9            268         6307.5
          10.00         -57.91           2.08          98874          119.2            284         7027.9
