           Time          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
              s             mB             °C              %            kts              °             ft
---------------------------------------------------------------------------------------------------------
            0.0         989.10         +13.70           0.00            0.0              0              0
            1.0         988.54         +13.47           0.23           22.4            262             16
            2.0         987.98         +13.42           0.44           22.4            262             31
            3.0         987.42         +13.36           0.65           22.4            262             47
            4.0         986.86         +13.31           0.85           22.4            262             62
            5.0         986.31         +13.26           1.06           22.4            262             78
            6.0         985.75         +13.20           1.26           22.4            262             93
            7.0         985.19         +13.15           1.47           22.4            262            109
            8.0         984.63         +13.10           1.67           22.4            262            125
            9.0         984.08         +13.04           1.88           22.4            262            140
           10.0         983.52         +12.99           2.08           22.4            262            156
           11.0         982.96         +12.93           2.29           22.4            262            171
           12.0         982.40         +12.88           2.49           22.4            262            187
           13.0         981.85         +12.83           2.69           22.4            262            202
           14.0         981.29         +12.77           2.90           22.4            262            218
           15.0         980.74         +12.72           3.10           22.4            262            234
           16.0         980.18         +12.66           3.31           22.4            262            249
           17.0         979.62         +12.61           3.51           22.4            262            265
           18.0         979.07         +12.56           3.72           22.4            262            280
           19.0         978.51         +12.50           3.92           22.4            262            296
           20.0         977.96         +12.45           4.13           22.4            262            311
           21.0         977.40         +12.40           4.33           22.4            262            327
           22.0         976.85         +12.34           4.53           22.4            262            342
           23.0         976.29         +12.29           4.74           22.4            262            358
           24.0         975.74         +12.23           4.94           22.4            262            374
           25.0         975.19         +12.18           5.15           22.4            262            389
           26.0         974.63         +12.13           5.35           22.4            262            405
           27.0         974.08         +12.07           5.56           22.4            262            420
           28.0         973.53         +12.02           5.76           22.4            262            436
           29.0         972.97         +11.97           5.97           22.4            262            451
           30.0         972.42         +11.91           6.17           22.4            262            467
           31.0         971.87         +11.86           6.37           22.4            262            483
           32.0         971.31         +11.80           6.58           22.4            262            498
           33.0         970.76         +11.75           6.78           22.4            262            514
           34.0         970.21         +11.70           6.99           22.4            262            529
           35.0         969.66         +11.64           7.19           22.4            262            545
           36.0         969.11         +11.59           7.40           22.4            262            560
           37.0         968.56         +11.53           7.60           22.4            262            576
           38.0         968.00         +11.48           7.81           22.4            262            592
           39.0         967.45         +11.43           8.01           22.4            262            607
           40.0         966.90         +11.37           8.21           22.4            262            623
           41.0         966.35         +11.32           8.42           22.4            262            638
           42.0         965.80         +11.27           8.62           22.4            262            654
           43.0         965.25         +11.21           8.83           22.4            262            669
           44.0         964.70         +11.16           9.03           22.4            262            685
           45.0         964.15         +11.10           9.24           22.4            262            701
           46.0         963.60         +11.05           9.44           22.4            262            716
           47.0         963.05         +11.00           9.65           22.4            262            732
           48.0         962.51         +10.94           9.85           22.4            262            747
           49.0         961.96         +10.89          10.06           22.4            262            763
           50.0         961.41         +10.83          10.26           22.4            262            778
           51.0         960.86         +10.78          10.46           22.4            262            794
           52.0         960.31         +10.73          10.67           22.4            262            809
           53.0         959.76         +10.67          10.87           22.4            262            825
           54.0         959.22         +10.62          11.08           22.4            262            841
           55.0         958.67         +10.57          11.28           22.4            262            856
           56.0         958.12         +10.51          11.49           22.4            262            872
           57.0         957.57         +10.46          11.69           22.4            262            887
           58.0         957.03         +10.40          11.90           22.4            262            903
           59.0         956.48         +10.35          12.10           22.4            262            918
           60.0         955.93         +10.30          12.30           22.4            262            934
           61.0         955.39         +10.24          12.51           22.4            262            950
           62.0         954.84         +10.19          12.71           22.4            262            965
           63.0         954.30         +10.13          12.92           22.4            262            981
           64.0         953.75         +10.08          13.12           22.4            262            996
           65.0         953.21         +10.03          13.33           22.4            262           1012
           66.0         952.66          +9.97          13.53           22.4            262           1027
           67.0         952.12          +9.92          13.74           22.4            262           1043
           68.0         951.57          +9.87          13.94           22.4            262           1059
           69.0         951.03          +9.81          14.15           22.4            262           1074
           70.0         950.48          +9.76          14.35           22.4            262           1090
           71.0         949.94          +9.70          14.55           22.4            262           1105
           72.0         949.39          +9.65          14.76           22.4            262           1121
           73.0         948.85          +9.60          14.96           22.4            262           1136
           74.0         948.31          +9.54          15.17           22.4            262           1152
           75.0         947.76          +9.49          15.37           22.4            262           1168
           76.0         947.22          +9.43          15.58           22.4            262           1183
           77.0         946.68          +9.38          15.78           22.4            262           1199
           78.0         946.14          +9.33          15.99           22.4            262           1214
           79.0         945.59          +9.27          16.19           22.4            262           1230
           80.0         945.05          +9.22          16.40           22.4            262           1245
           81.0         944.51          +9.17          16.60           22.4            262           1261
           82.0         943.97          +9.11          16.80           22.4            262           1276
           83.0         943.43          +9.06          17.01           22.4            262           1292
           84.0         942.88          +9.00          17.21           22.4            262           1308
           85.0         942.34          +8.95          17.42           22.4            262           1323
           86.0         941.80          +8.90          17.62           22.4            262           1339
           87.0         941.26          +8.84          17.83           22.4            262           1354
           88.0         940.72          +8.79          18.03           22.4            262           1370
           89.0         940.18          +8.73          18.24           22.4            262           1385
           90.0         939.64          +8.68          18.44           22.4            262           1401
           91.0         939.10          +8.63          18.65           22.4            262           1417
           92.0         938.56          +8.57          18.85           22.4            262           1432
           93.0         938.02          +8.52          19.05           22.4            262           1448
           94.0         937.48          +8.47          19.26           22.4            262           1463
           95.0         936.94          +8.41          19.46           22.4            262           1479
           96.0         936.41          +8.36          19.67           22.4            262           1494
           97.0         935.87          +8.30          19.87           22.4            262           1510
           98.0         935.33          +8.25          20.08           22.4            262           1526
           99.0         934.79          +8.20          20.28           22.4            262           1541
          100.0         934.25          +8.14          20.49           22.4            262           1557
          101.0         933.71          +8.09          20.69           22.4            262           1572
          102.0         933.18          +8.03          20.90           22.4            262           1588
          103.0         932.64          +7.98          21.10           22.4            262           1603
          104.0         932.10          +7.93          21.30           22.4            262           1619
          105.0         931.57          +7.87          21.51           22.4            262           1634
          106.0         931.03          +7.82          21.71           22.4            262           1650
          107.0         930.49          +7.77          21.92           22.4            262           1666
          108.0         929.96          +7.71          22.12           22.4            262           1681
          109.0         929.42          +7.66          22.33           22.4            262           1697
          110.0         928.88          +7.60          22.53           22.4            262           1712
          111.0         928.35          +7.55          22.74           22.4            262           1728
          112.0         927.81          +7.50          22.94           22.4            262           1743
          113.0         927.28          +7.44          23.15           22.4            262           1759
          114.0         926.74          +7.39          23.35           22.4            262           1775
          115.0         926.21          +7.33          23.56           22.4            262           1790
          116.0         925.67          +7.28          23.76           22.4            262           1806
          117.0         925.14          +7.23          23.96           22.4            262           1821
          118.0         924.61          +7.17          24.17           22.4            262           1837
          119.0         924.07          +7.12          24.37           22.4            262           1852
          120.0         923.54          +7.07          24.58           22.4            262           1868
          121.0         923.00          +7.01          24.78           22.4            262           1884
          122.0         922.47          +6.96          24.99           22.4            262           1899
          123.0         921.94          +6.90          25.19           22.4            262           1915
          124.0         921.41          +6.85          25.40           22.4            262           1930
          125.0         920.87          +6.80          25.60           22.4            262           1946
          126.0         920.34          +6.74          25.81           22.4            262           1961
          127.0         919.81          +6.69          26.01           22.4            262           1977
          128.0         919.28          +6.64          26.21           22.4            262           1992
          129.0         918.74          +6.58          26.42           22.4            262           2008
          130.0         918.21          +6.53          26.62           22.4            262           2024
          131.0         917.68          +6.47          26.83           22.4            262           2039
          132.0         917.15          +6.42          27.03           22.4            262           2055
          133.0         916.62          +6.37          27.24           22.4            262           2070
          134.0         916.09          +6.31          27.44           22.4            262           2086
          135.0         915.56          +6.26          27.65           22.4            262           2101
          136.0         915.03          +6.20          27.85           22.4            262           2117
          137.0         914.50          +6.15          28.06           22.4            262           2133
          138.0         913.97          +6.10          28.26           22.4            262           2148
          139.0         913.44          +6.04          28.47           22.4            262           2164
          140.0         912.91          +5.99          28.67           22.4            262           2179
          141.0         912.38          +5.94          28.87           22.4            262           2195
          142.0         911.85          +5.88          29.08           22.4            262           2210
          143.0         911.32          +5.83          29.28           22.4            262           2226
          144.0         910.79          +5.77          29.49           22.4            262           2242
          145.0         910.26          +5.72          29.69           22.4            262           2257
          146.0         909.74          +5.67          29.90           22.4            262           2273
          147.0         909.21          +5.61          30.10           22.4            262           2288
          148.0         908.68          +5.56          30.31           22.4            262           2304
          149.0         908.15          +5.50          30.51           22.4            262           2319
          150.0         907.62          +5.45          30.72           22.4            262           2335
          151.0         907.10          +5.40          30.92           22.4            262           2350
          152.0         906.57          +5.34          31.13           22.4            262           2366
          153.0         906.04          +5.29          31.33           22.4            262           2382
          154.0         905.52          +5.24          31.53           22.4            262           2397
          155.0         904.99          +5.18          31.74           22.4            262           2413
          156.0         904.46          +5.13          31.94           22.4            262           2428
          157.0         903.94          +5.07          32.15           22.4            262           2444
          158.0         903.41          +5.02          32.35           22.4            262           2459
          159.0         902.89          +4.97          32.56           22.4            262           2475
          160.0         902.36          +4.91          32.76           22.4            262           2491
          161.0         901.84          +4.86          32.97           22.4            262           2506
          162.0         901.31          +4.80          33.17           22.4            262           2522
          163.0         900.79          +4.75          33.38           22.4            262           2537
          164.0         900.26          +4.70          33.58           22.4            262           2553
          165.0         899.74          +4.64          33.79           22.4            262           2568
          166.0         899.21          +4.59          33.99           22.4            262           2584
          167.0         898.69          +4.54          34.20           22.4            262           2599
          168.0         898.17          +4.48          34.40           22.4            262           2615
          169.0         897.64          +4.43          34.60           22.4            262           2631
          170.0         897.12          +4.37          34.81           22.4            262           2646
          171.0         896.60          +4.32          35.01           22.4            262           2662
          172.0         896.07          +4.27          35.22           22.4            262           2677
          173.0         895.55          +4.21          35.42           22.4            262           2693
          174.0         895.03          +4.16          35.63           22.4            262           2708
          175.0         894.50          +4.10          35.83           22.4            262           2724
          176.0         893.98          +4.05          36.04           22.4            262           2740
