Perlan 2	
KF4TFK	
Format  	1.01	
Date    	130818	UTC	
Time    	175008.00	UTC	
Latitude	5021.14690S	
Longitude	07216.03646W	
Altitude	2883.7	m	
Airspeed	107.1	kph	
Heading 		
Mode    	Normal	Note: RH torsion exciter is active but not returning position data	
Excitation	Symmetric (4)	
Frequency From	2	Hz	Frequency To	20	Hz	Duration	30	
CALIBRATION	
Position		Left Vertical	101	102	103	104			Right Vertical	201	202	203	204			Left Torsion			Right Torsion	
Offset  			2.9800000	0.7350000	-1.3602400	5.8957615				-11.0716000	-3.1086800	-0.9350000	1.6380000							
Scale   			-0.0037870	0.0039020	0.0039120	-0.0039050				0.0038520	0.0039020	0.0039340	-0.0039350							
DC Gain 			8.9793367	8.9793367	8.9793367	8.9793367				8.9793367	8.9793367	8.9793367	8.9793367							
Glitch Count			0	0	0	0				0	0	0	0							
Total Datapoints	3000	
DATA	
10	1	8	-2478	2257	2220	-2214	10	1	-11	1913	2011	1948	-1966	10	1	9	0	0	0	
20	1	18	-2467	2276	2268	-2204	20	1	-23	1911	2011	1944	-1964	20	1	22	0	0	0	
30	1	27	-2430	2274	2265	-2294	30	1	-36	1911	2010	1944	-1970	30	1	34	0	0	0	
40	1	36	-2422	2254	2230	-2324	40	1	-48	1916	2003	1981	-1991	40	1	47	0	0	0	
50	1	45	-2478	2249	2224	-2241	50	1	-60	1936	2022	2025	-1994	50	1	59	0	0	0	
60	1	54	-2505	2264	2253	-2218	60	1	-72	1970	2084	2056	-1974	60	1	71	0	0	0	
70	1	63	-2428	2255	2238	-2303	70	1	-84	1968	2080	2039	-2015	70	1	82	0	0	0	
80	1	71	-2405	2230	2140	-2320	80	1	-95	2001	2012	1891	-2076	80	1	94	0	0	0	
90	1	79	-2415	2232	2170	-2233	90	1	-106	2084	2026	1948	-2035	90	1	105	0	0	0	
100	100	87	-2437	2252	2235	-2250	100	1	-116	2040	2096	2231	-2079	100	1	115	0	0	0	
110	100	95	-2545	2291	2175	-2312	110	100	-126	2020	2119	2187	-2235	110	100	125	0	0	0	
120	100	102	-2543	2344	2257	-2319	120	100	-136	2071	2111	2058	-2225	120	100	135	0	0	0	
130	100	109	-2490	2368	2391	-2351	130	100	-145	2033	2116	2152	-2172	130	100	144	0	0	0	
140	100	115	-2550	2350	2350	-2354	140	100	-153	2075	2152	2136	-2204	140	100	152	0	0	0	
150	100	121	-2571	2353	2312	-2305	150	100	-161	2130	2207	2131	-2174	150	100	160	0	0	0	
160	100	126	-2583	2390	2373	-2288	160	100	-168	2103	2229	2228	-2158	160	100	167	0	0	0	
170	100	131	-2620	2416	2399	-2302	170	100	-174	2150	2191	2154	-2232	170	100	174	0	0	0	
180	100	135	-2621	2446	2402	-2277	180	100	-180	2169	2167	2137	-2256	180	100	180	0	0	0	
190	100	139	-2632	2463	2404	-2238	190	100	-185	2160	2219	2298	-2254	190	100	185	0	0	0	
200	200	142	-2636	2449	2346	-2269	200	100	-190	2203	2292	2308	-2284	200	100	189	0	0	0	
210	200	145	-2630	2429	2394	-2331	210	200	-193	2222	2301	2165	-2279	210	200	193	0	0	0	
220	200	147	-2631	2407	2535	-2348	220	200	-196	2245	2290	2053	-2229	220	200	196	0	0	0	
230	200	149	-2636	2396	2557	-2301	230	200	-198	2265	2292	2049	-2195	230	200	198	0	0	0	
240	200	150	-2619	2401	2467	-2264	240	200	-199	2277	2295	2181	-2234	240	200	199	0	0	0	
250	200	150	-2575	2414	2375	-2281	250	200	-200	2304	2358	2361	-2292	250	200	200	0	0	0	
260	200	150	-2569	2407	2327	-2264	260	200	-200	2331	2425	2394	-2332	260	200	200	0	0	0	
270	200	149	-2574	2375	2321	-2232	270	200	-199	2384	2439	2335	-2362	270	200	199	0	0	0	
280	200	148	-2549	2361	2323	-2264	280	200	-197	2396	2444	2412	-2338	280	200	197	0	0	0	
290	200	146	-2519	2340	2297	-2277	290	200	-194	2368	2457	2489	-2315	290	200	194	0	0	0	
300	300	143	-2479	2299	2257	-2286	300	200	-191	2382	2459	2438	-2316	300	200	191	0	0	0	
