COUNT, UTC_D, UTC_T, CPM_1, uSv/h_1, CPM_2, uSv/h_2, TMP102_C, TMP102_F, VBat, Lat, Lon, Alt
000000,08-14-2018,15:31:38,16,0.13,15,0.12,17.94,64.29,3.29,0.000000,0.000000,0.00
000001,08-14-2018,15:32:38,20,0.16,7,0.06,18.19,64.74,3.29,0.000000,0.000000,0.00
000002,08-14-2018,15:33:38,21,0.17,13,0.11,18.31,64.96,3.30,0.000000,0.000000,0.00
000003,08-14-2018,15:34:38,17,0.14,9,0.07,18.44,65.19,3.30,0.000000,0.000000,0.00
000004,08-14-2018,15:35:38,14,0.11,15,0.12,18.56,65.41,3.30,0.000000,0.000000,0.00
000005,08-14-2018,15:36:38,12,0.10,9,0.07,18.63,65.52,3.30,0.000000,0.000000,0.00
000006,08-14-2018,15:37:38,18,0.15,7,0.06,18.75,65.75,3.29,0.000000,0.000000,0.00
000007,08-14-2018,15:38:38,17,0.13,15,0.12,18.81,65.86,3.29,0.000000,0.000000,0.00
000008,08-14-2018,15:39:38,20,0.16,18,0.15,18.88,65.97,3.29,0.000000,0.000000,0.00
000009,08-14-2018,15:40:38,13,0.11,14,0.11,18.88,65.97,3.29,0.000000,0.000000,0.00
000010,08-14-2018,15:41:38,22,0.18,19,0.15,18.94,66.09,3.29,0.000000,0.000000,0.00
000011,08-14-2018,15:42:38,12,0.10,9,0.07,18.94,66.09,3.30,0.000000,0.000000,0.00
000012,08-14-2018,15:43:38,13,0.11,11,0.09,19.00,66.20,3.29,0.000000,0.000000,0.00
000013,08-14-2018,15:44:38,12,0.10,14,0.11,19.06,66.31,3.29,0.000000,0.000000,0.00
000014,08-14-2018,15:45:38,12,0.10,13,0.11,19.06,66.31,3.29,0.000000,0.000000,0.00
000015,08-14-2018,15:46:38,21,0.17,14,0.11,19.13,66.43,3.29,0.000000,0.000000,0.00
000016,08-14-2018,15:47:38,20,0.16,19,0.15,19.19,66.54,3.29,0.000000,0.000000,0.00
000017,08-14-2018,15:48:38,17,0.14,11,0.09,19.19,66.54,3.29,0.000000,0.000000,0.00
000018,08-14-2018,15:49:38,14,0.11,16,0.13,19.19,66.54,3.29,0.000000,0.000000,0.00
000019,08-14-2018,15:50:38,10,0.08,14,0.11,19.25,66.65,3.29,0.000000,0.000000,0.00
000020,08-14-2018,15:51:38,17,0.14,10,0.08,19.31,66.76,3.29,0.000000,0.000000,0.00
000021,08-14-2018,15:52:38,9,0.07,11,0.09,19.31,66.76,3.29,0.000000,0.000000,0.00
000022,08-14-2018,15:53:38,14,0.11,15,0.12,19.38,66.88,3.29,0.000000,0.000000,0.00
000023,08-14-2018,15:54:38,22,0.18,9,0.07,19.38,66.88,3.29,0.000000,0.000000,0.00
000024,08-14-2018,15:55:38,10,0.08,13,0.11,19.44,66.99,3.29,0.000000,0.000000,0.00
000025,08-14-2018,15:56:38,16,0.13,27,0.22,19.44,66.99,3.29,0.000000,0.000000,0.00
000026,08-14-2018,15:57:38,13,0.11,13,0.11,19.50,67.10,3.29,0.000000,0.000000,0.00
000027,08-14-2018,15:58:38,15,0.12,7,0.06,19.50,67.10,3.29,0.000000,0.000000,0.00
000028,08-14-2018,15:59:38,20,0.16,13,0.11,19.56,67.21,3.29,0.000000,0.000000,0.00
000029,08-14-2018,16:00:38,22,0.18,14,0.11,19.56,67.21,3.29,0.000000,0.000000,0.00
000030,08-14-2018,16:01:38,12,0.10,18,0.15,19.63,67.32,3.29,0.000000,0.000000,0.00
000031,08-14-2018,16:02:38,10,0.08,10,0.08,19.63,67.32,3.29,0.000000,0.000000,0.00
000032,08-14-2018,16:03:38,16,0.13,12,0.10,19.63,67.32,3.29,0.000000,0.000000,0.00
000033,08-14-2018,16:04:38,17,0.14,14,0.11,19.69,67.44,3.29,0.000000,0.000000,0.00
000034,08-14-2018,16:05:38,16,0.13,14,0.11,19.75,67.55,3.28,0.000000,0.000000,0.00
