Perlan 2	
KF4TFK	
Format  	1.01	
Date    	140818	UTC	
Time    	185851.00	UTC	
Latitude	5031.97130S	
Longitude	07241.14694W	
Altitude	12166.2	m	
Airspeed	187.6	kph	
Heading 		
Mode    	Normal	Note: RH torsion exciter is active but not returning position data	
Excitation	Symmetric (4)	
Frequency From	2	Hz	Frequency To	20	Hz	Duration	30	
CALIBRATION	
Position		Left Vertical	101	102	103	104			Right Vertical	201	202	203	204			Left Torsion			Right Torsion	
Offset  			2.9800000	0.7350000	-1.3602400	5.8957615				-11.0716000	-3.1086800	-0.9350000	1.6380000							
Scale   			-0.0037870	0.0039020	0.0039120	-0.0039050				0.0038520	0.0039020	0.0039340	-0.0039350							
DC Gain 			8.9793367	8.9793367	8.9793367	8.9793367				8.9793367	8.9793367	8.9793367	8.9793367							
Glitch Count			0	0	0	0				0	0	0	0							
Total Datapoints	3000	
DATA	
10	1	7	-2421	2107	2132	0	10	1	-11	2252	2345	2201	-2402	10	1	10	0	0	0	
20	1	16	-2421	2086	2146	0	20	1	-23	2241	2325	2259	-2371	20	1	23	0	0	0	
30	1	25	-2427	2098	2133	0	30	1	-36	2244	2357	2299	-2335	30	1	35	0	0	0	
40	1	35	-2399	2112	2165	0	40	1	-48	2211	2358	2268	-2340	40	1	47	0	0	0	
50	1	44	-2407	2112	2180	0	50	1	-60	2251	2336	2195	-2337	50	1	59	0	0	0	
60	1	53	-2450	2150	2159	0	60	1	-72	2289	2367	2233	-2340	60	1	71	0	0	0	
70	1	61	-2408	2158	2156	0	70	1	-84	2219	2384	2245	-2428	70	1	83	0	0	0	
80	1	70	-2411	2119	2065	0	80	1	-95	2232	2338	2161	-2467	80	1	94	0	0	0	
90	1	78	-2443	2121	2061	0	90	1	-106	2256	2325	2269	-2384	90	1	105	0	0	0	
100	1	86	-2375	2125	2154	0	100	1	-116	2186	2323	2334	-2412	100	1	116	0	0	0	
110	100	93	-2400	2116	2065	0	110	100	-126	2242	2328	2223	-2421	110	100	126	0	0	0	
120	100	101	-2436	2138	2059	0	120	100	-136	2258	2374	2286	-2319	120	100	135	0	0	0	
130	100	107	-2396	2159	2155	0	130	100	-145	2198	2374	2301	-2366	130	100	144	0	0	0	
140	100	114	-2434	2138	2082	0	140	100	-153	2260	2352	2217	-2417	140	100	153	0	0	0	
150	100	120	-2434	2126	2049	0	150	100	-161	2248	2365	2338	-2406	150	100	160	0	0	0	
160	100	125	-2421	2134	2099	0	160	100	-168	2244	2363	2324	-2441	160	100	168	0	0	0	
170	100	130	-2453	2121	2110	0	170	100	-174	2291	2354	2160	-2368	170	100	174	0	0	0	
180	100	135	-2437	2135	2191	0	180	100	-180	2224	2386	2296	-2289	180	100	180	0	0	0	
190	100	138	-2425	2151	2198	0	190	100	-185	2231	2408	2382	-2390	190	100	185	0	0	0	
200	100	142	-2417	2125	2119	0	200	100	-190	2249	2375	2280	-2424	200	100	189	0	0	0	
210	200	145	-2425	2109	2169	0	210	200	-193	2203	2354	2260	-2324	210	200	193	0	0	0	
220	200	147	-2433	2114	2176	0	220	200	-196	2241	2347	2166	-2314	220	200	196	0	0	0	
230	200	148	-2395	2115	2097	0	230	200	-198	2240	2322	2153	-2371	230	200	198	0	0	0	
240	200	150	-2392	2098	2100	0	240	200	-199	2217	2327	2301	-2419	240	200	199	0	0	0	
250	200	150	-2388	2105	2107	0	250	200	-200	2232	2331	2330	-2409	250	200	200	0	0	0	
260	200	150	-2386	2118	2053	0	260	200	-200	2208	2321	2243	-2380	260	200	200	0	0	0	
270	200	149	-2416	2105	2073	0	270	200	-199	2213	2337	2203	-2397	270	200	199	0	0	0	
280	200	148	-2397	2127	2150	0	280	200	-197	2227	2348	2233	-2432	280	200	197	0	0	0	
290	200	146	-2385	2141	2150	0	290	200	-194	2225	2358	2284	-2469	290	200	194	0	0	0	
300	200	143	-2406	2122	2113	0	300	200	-191	2226	2345	2283	-2413	300	200	191	0	0	0	
310	300	140	-2410	2129	2113	0	310	300	-187	2228	2305	2220	-2365	310	300	187	0	0	0	
