Perlan 2	
KF4TFK	
Format  	1.01	
Date    	140818	UTC	
Time    	203524.00	UTC	
Latitude	5021.66298S	
Longitude	07228.81252W	
Altitude	5527.6	m	
Airspeed	246.5	kph	
Heading 		
Mode    	Normal	Note: RH torsion exciter is active but not returning position data	
Excitation	Anti Sym (4)	
Frequency From	2	Hz	Frequency To	20	Hz	Duration	30	
CALIBRATION	
Position		Left Vertical	101	102	103	104			Right Vertical	201	202	203	204			Left Torsion			Right Torsion	
Offset  			2.9800000	0.7350000	-1.3602400	5.8957615				-11.0716000	-3.1086800	-0.9350000	1.6380000							
Scale   			-0.0037870	0.0039020	0.0039120	-0.0039050				0.0038520	0.0039020	0.0039340	-0.0039350							
DC Gain 			8.9793367	8.9793367	8.9793367	8.9793367				8.9793367	8.9793367	8.9793367	8.9793367							
Glitch Count			0	0	0	0				0	0	0	0							
Total Datapoints	3000	
DATA	
10	1	8	-2436	2228	2340	-2402	10	1	10	2398	2496	2182	-2460	10	1	11	0	0	0	
20	1	17	-2411	2228	2155	-2513	20	1	23	2475	2496	2181	-2463	20	1	24	0	0	0	
30	1	27	-2403	2241	2116	-2395	30	1	35	2481	2502	2174	-2476	30	1	36	0	0	0	
40	1	36	-2395	2261	2157	-2230	40	1	47	2477	2505	2175	-2461	40	1	48	0	0	0	
50	1	45	-2413	2280	2231	-2214	50	1	59	2378	2453	2234	-2337	50	1	60	0	0	0	
60	1	54	-2436	2290	2317	-2327	60	1	71	2239	2374	2350	-2200	60	1	72	0	0	0	
70	1	63	-2404	2265	2371	-2473	70	1	83	2260	2405	2407	-2176	70	1	84	0	0	0	
80	1	71	-2439	2241	2314	-2466	80	1	94	2280	2465	2423	-2216	80	1	95	0	0	0	
90	1	79	-2492	2237	2251	-2320	90	1	105	2225	2375	2371	-2299	90	1	106	0	0	0	
100	100	87	-2443	2254	2286	-2253	100	100	116	2282	2266	2274	-2314	100	1	116	0	0	0	
110	100	94	-2456	2277	2286	-2237	110	100	126	2244	2303	2379	-2273	110	100	126	0	0	0	
120	100	102	-2466	2249	2313	-2228	120	100	135	2192	2394	2371	-2338	120	100	136	0	0	0	
130	100	108	-2417	2194	2345	-2260	130	100	144	2321	2400	2202	-2334	130	100	145	0	0	0	
140	100	115	-2445	2194	2280	-2244	140	100	153	2295	2352	2318	-2267	140	100	153	0	0	0	
150	100	120	-2463	2236	2271	-2216	150	100	160	2224	2352	2429	-2352	150	100	161	0	0	0	
160	100	126	-2466	2249	2330	-2228	160	100	168	2285	2344	2301	-2427	160	100	168	0	0	0	
170	100	131	-2457	2248	2292	-2234	170	100	174	2272	2287	2261	-2363	170	100	175	0	0	0	
180	100	135	-2418	2256	2149	-2291	180	100	180	2291	2253	2353	-2261	180	100	180	0	0	0	
190	100	139	-2418	2247	2076	-2320	190	100	185	2327	2272	2354	-2280	190	100	185	0	0	0	
200	200	142	-2405	2230	2155	-2253	200	200	189	2263	2347	2297	-2361	200	100	190	0	0	0	
210	200	145	-2412	2241	2196	-2249	210	200	193	2221	2414	2328	-2344	210	200	193	0	0	0	
220	200	147	-2435	2260	2193	-2314	220	200	196	2224	2386	2443	-2317	220	200	196	0	0	0	
230	200	149	-2426	2250	2268	-2381	230	200	198	2281	2350	2510	-2323	230	200	198	0	0	0	
240	200	150	-2438	2236	2318	-2417	240	200	199	2327	2361	2460	-2362	240	200	200	0	0	0	
250	200	150	-2433	2230	2356	-2409	250	200	200	2276	2386	2411	-2382	250	200	200	0	0	0	
260	200	150	-2446	2223	2296	-2399	260	200	200	2269	2418	2450	-2323	260	200	200	0	0	0	
270	200	149	-2484	2231	2161	-2397	270	200	199	2299	2361	2423	-2369	270	200	199	0	0	0	
280	200	148	-2460	2257	2232	-2347	280	200	197	2290	2257	2289	-2466	280	200	197	0	0	0	
290	200	146	-2421	2277	2358	-2273	290	200	194	2287	2286	2291	-2381	290	200	194	0	0	0	
300	300	143	-2431	2250	2292	-2277	300	300	191	2266	2379	2363	-2255	300	200	191	0	0	0	
