Perlan 2	
KF4TFK	
Format  	1.01	
Date    	170818	UTC	
Time    	184317.00	UTC	
Latitude	5020.75304S	
Longitude	07228.72477W	
Altitude	10950.2	m	
Airspeed	236.3	kph	
Heading 		
Mode    	Normal	Note: RH torsion exciter is active but not returning position data	
Excitation	No Excitation	
Frequency From	3	Hz	Frequency To	25	Hz	Duration	30	
CALIBRATION	
Position		Left Vertical	101	102	103	104			Right Vertical	201	202	203	204			Left Torsion	
Offset  			2.9800000	0.7350000	-1.3602400	5.8957615				-11.0716000	-3.1086800	-0.9350000	1.6380000				
Scale   			-0.0037870	0.0039020	0.0039120	-0.0039050				0.0038520	0.0039020	0.0039340	-0.0039350				
DC Gain 			8.9793367	8.9793367	8.9793367	8.9793367				8.9793367	8.9793367	8.9793367	8.9793367				
Glitch Count			0	0	0	0				0	0	0	0				
Total Datapoints	1709	
DATA	
10	1	0	148	-128	-132	175	10	1	0	-134	0	-160	0	10	1	0	
20	1	0	69	-57	-61	-121	20	1	0	-57	0	85	0	20	1	0	
30	1	0	-1015	880	919	-1338	30	1	0	925	0	1218	0	30	1	0	
40	1	0	-2393	2043	2133	-2354	40	1	0	2136	0	2259	0	40	1	0	
50	1	0	-2836	2414	2455	-2542	50	1	0	2483	0	2437	0	50	1	0	
60	1	0	-2724	2397	2409	-2505	60	1	0	2376	0	2362	0	60	1	0	
70	1	0	-2609	2395	2458	-2474	70	1	0	2338	0	2391	0	70	1	0	
80	1	0	-2568	2341	2370	-2477	80	1	0	2349	0	2350	0	80	1	0	
90	1	0	-2588	2306	2310	-2486	90	1	0	2370	0	2263	0	90	1	0	
100	100	0	-2602	2376	2433	-2470	100	1	0	2395	0	2336	0	100	1	0	
110	100	0	-2596	2425	2496	-2445	110	100	0	2423	0	2490	0	110	100	0	
120	100	0	-2542	2285	2302	-2460	120	100	0	2446	0	2577	0	120	100	0	
130	100	0	-2451	2091	2016	-2459	130	100	0	2431	0	2559	0	130	100	0	
140	100	0	-2435	2078	2026	-2321	140	100	0	2386	0	2434	0	140	100	0	
150	100	0	-2538	2261	2359	-2244	150	100	0	2372	0	2242	0	150	100	0	
160	100	0	-2622	2420	2613	-2399	160	100	0	2355	0	2118	0	160	100	0	
170	100	0	-2601	2381	2465	-2600	170	100	0	2283	0	2233	0	170	100	0	
180	100	0	-2563	2250	2167	-2599	180	100	0	2231	0	2440	0	180	100	0	
190	100	0	-2577	2257	2231	-2509	190	100	0	2255	0	2448	0	190	100	0	
200	200	0	-2660	2432	2579	-2524	200	100	0	2297	0	2301	0	200	100	0	
210	200	0	-2787	2569	2734	-2552	210	200	0	2265	0	2210	0	210	200	0	
220	200	0	-2859	2545	2591	-2537	220	200	0	2198	0	2176	0	220	200	0	
230	200	0	-2813	2457	2420	-2375	230	200	0	2206	0	2182	0	230	200	0	
240	200	0	-2691	2421	2419	-2198	240	200	0	2245	0	2209	0	240	200	0	
250	200	0	-2584	2414	2461	-2264	250	200	0	2274	0	2212	0	250	200	0	
260	200	0	-2543	2380	2420	-2355	260	200	0	2283	0	2296	0	260	200	0	
270	200	0	-2560	2303	2343	-2312	270	200	0	2229	0	2438	0	270	200	0	
280	200	0	-2585	2212	2223	-2287	280	200	0	2207	0	2363	0	280	200	0	
290	200	0	-2564	2177	2173	-2385	290	200	0	2281	0	2095	0	290	200	0	
300	300	0	-2481	2199	2233	-2550	300	200	0	2300	0	2079	0	300	200	0	
310	300	0	-2351	2207	2256	-2654	310	300	0	2213	0	2325	0	310	300	0	
320	300	0	-2261	2131	2170	-2639	320	300	0	2177	0	2399	0	320	300	0	
330	300	0	-2290	2016	2066	-2495	330	300	0	2245	0	2249	0	330	300	0	
340	300	0	-2349	1993	2098	-2359	340	300	0	2299	0	2117	0	340	300	0	
350	300	0	-2352	2067	2204	-2492	350	300	0	2261	0	2138	0	350	300	0	
360	300	0	-2355	2141	2266	-2874	360	300	0	2239	0	2208	0	360	300	0	
370	300	0	-2372	2116	2370	-3027	370	300	0	2329	0	2004	0	370	300	0	
