Perlan 2	
KF4TFK	
Format  	1.01	
Date    	170818	UTC	
Time    	184732.00	UTC	
Latitude	5018.62862S	
Longitude	07232.03912W	
Altitude	10538.3	m	
Airspeed	224.8	kph	
Heading 		
Mode    	Normal	Note: RH torsion exciter is active but not returning position data	
Excitation	Symmetric (4)	
Frequency From	3	Hz	Frequency To	25	Hz	Duration	30	
CALIBRATION	
Position		Left Vertical	101	102	103	104			Right Vertical	201	202	203	204			Left Torsion	
Offset  			2.9800000	0.7350000	-1.3602400	5.8957615				-11.0716000	-3.1086800	-0.9350000	1.6380000				
Scale   			-0.0037870	0.0039020	0.0039120	-0.0039050				0.0038520	0.0039020	0.0039340	-0.0039350				
DC Gain 			8.9793367	8.9793367	8.9793367	8.9793367				8.9793367	8.9793367	8.9793367	8.9793367				
Glitch Count			0	0	0	0				0	0	0	0				
Total Datapoints	3000	
DATA	
10	1	7	-2385	2027	2113	-2078	10	1	-10	2184	2296	2236	-2427	10	1	10	
20	1	16	-2512	1957	1945	-2068	20	1	-23	2096	2430	2419	-2461	20	1	23	
30	1	25	-2356	1998	1952	-2086	30	1	-35	2110	2350	2259	-2216	30	1	35	
40	1	35	-2096	2041	2008	-2157	40	1	-48	2169	2120	1921	-1989	40	1	47	
50	1	44	-2084	1978	2024	-2129	50	1	-60	2148	2031	1823	-2033	50	1	60	
60	1	53	-2286	1865	2047	-1971	60	1	-72	2068	2189	2112	-2153	60	1	71	
70	1	61	-2425	1863	2036	-1967	70	1	-83	1996	2311	2322	-2244	70	1	83	
80	1	70	-2419	2091	2159	-2111	80	1	-94	2088	2271	2094	-2375	80	1	94	
90	1	78	-2294	2306	2520	-2232	90	1	-105	2247	2247	1967	-2430	90	1	105	
100	1	86	-2256	2197	2410	-2414	100	1	-116	2203	2287	2163	-2395	100	1	116	
110	100	93	-2399	1993	1864	-2411	110	100	-126	2158	2295	2209	-2326	110	100	126	
120	100	101	-2378	1993	1999	-2202	120	100	-135	2066	2250	2232	-2292	120	100	135	
130	100	107	-2246	2080	2411	-2096	130	100	-144	1911	2152	2282	-2360	130	100	144	
140	100	114	-2257	2053	2240	-2046	140	100	-153	2049	2107	2127	-2299	140	100	153	
150	100	120	-2257	1988	1960	-2071	150	100	-161	2195	2204	2177	-2128	150	100	160	
160	100	125	-2271	2001	1922	-2144	160	100	-168	2157	2311	2248	-2141	160	100	168	
170	100	130	-2301	2016	1965	-2128	170	100	-174	2167	2303	2040	-2157	170	100	174	
180	100	135	-2196	1941	2057	-2076	180	100	-180	2128	2196	1966	-2077	180	100	180	
190	100	138	-2105	1783	1980	-2069	190	100	-185	2105	2131	2024	-2153	190	100	185	
200	100	142	-2133	1697	1731	-2064	200	100	-190	2213	2226	2258	-2234	200	100	189	
210	200	145	-2182	1790	1776	-2112	210	200	-193	2333	2422	2560	-2217	210	200	193	
220	200	147	-2176	1965	1969	-2316	220	200	-196	2416	2514	2460	-2336	220	200	196	
230	200	148	-2176	2046	1926	-2345	230	200	-198	2376	2432	2195	-2560	230	200	198	
240	200	150	-2269	1972	1855	-2126	240	200	-199	2293	2416	2208	-2569	240	200	199	
250	200	150	-2382	1922	1886	-2062	250	200	-200	2288	2492	2430	-2354	250	200	200	
260	200	150	-2392	2070	2124	-2176	260	200	-200	2299	2463	2533	-2347	260	200	200	
270	200	149	-2284	2279	2533	-2350	270	200	-199	2296	2354	2363	-2502	270	200	199	
280	200	148	-2297	2293	2442	-2415	280	200	-197	2219	2279	2214	-2455	280	200	197	
290	200	146	-2573	2164	2007	-2213	290	200	-194	2124	2278	2226	-2341	290	200	194	
300	200	143	-2772	2170	2015	-2094	300	200	-191	2121	2276	2212	-2325	300	200	191	
310	300	140	-2686	2368	2324	-2279	310	300	-187	2129	2211	2131	-2332	310	300	187	
320	300	137	-2511	2496	2543	-2401	320	300	-182	2133	2172	2079	-2311	320	300	182	
330	300	133	-2421	2355	2538	-2351	330	300	-176	2151	2227	2176	-2191	330	300	176	
340	300	128	-2475	2069	2176	-2271	340	300	-170	2149	2311	2301	-2062	340	300	170	
