Perlan 2	
KF4TFK	
Format  	1.01	
Date    	170818	UTC	
Time    	185510.00	UTC	
Latitude	5028.09770S	
Longitude	07234.27592W	
Altitude	10029.7	m	
Airspeed	224.5	kph	
Heading 		
Mode    	Normal	Note: RH torsion exciter is active but not returning position data	
Excitation	Anti Sym (4)	
Frequency From	3	Hz	Frequency To	25	Hz	Duration	30	
CALIBRATION	
Position		Left Vertical	101	102	103	104			Right Vertical	201	202	203	204	
Offset  			2.9800000	0.7350000	-1.3602400	5.8957615				-11.0716000	-3.1086800	-0.9350000	1.6380000	
Scale   			-0.0037870	0.0039020	0.0039120	-0.0039050				0.0038520	0.0039020	0.0039340	-0.0039350	
DC Gain 			8.9793367	8.9793367	8.9793367	8.9793367				8.9793367	8.9793367	8.9793367	8.9793367	
Glitch Count			0	0	0	0				0	0	0	0	
Total Datapoints	3000	
DATA	
10	1	7	-2523	2293	2283	-2444	10	1	11	2464	2553	2408	-2535	
20	1	17	-2492	2296	2286	-2441	20	1	24	2466	2549	2461	-2475	
30	1	26	-2488	2263	2244	-2428	30	1	36	2497	2568	2527	-2418	
40	1	35	-2518	2219	2239	-2393	40	1	48	2501	2605	2616	-2467	
50	1	44	-2566	2233	2311	-2411	50	1	61	2430	2561	2627	-2608	
60	1	53	-2575	2295	2407	-2447	60	1	72	2392	2470	2445	-2675	
70	1	62	-2487	2299	2416	-2476	70	1	84	2489	2494	2345	-2509	
80	1	70	-2467	2244	2251	-2492	80	1	95	2468	2571	2457	-2394	
90	1	79	-2516	2218	2215	-2423	90	1	106	2394	2556	2427	-2539	
100	1	86	-2547	2240	2305	-2404	100	100	117	2440	2507	2423	-2577	
110	100	94	-2616	2287	2309	-2437	110	100	126	2377	2513	2548	-2515	
120	100	101	-2572	2328	2401	-2464	120	100	136	2374	2559	2480	-2516	
130	100	108	-2492	2329	2426	-2522	130	100	145	2477	2575	2450	-2457	
140	100	114	-2521	2279	2301	-2487	140	100	153	2438	2542	2497	-2493	
150	100	120	-2522	2244	2272	-2420	150	100	161	2429	2509	2373	-2567	
160	100	126	-2529	2278	2314	-2405	160	100	168	2418	2509	2417	-2491	
170	100	130	-2537	2292	2268	-2412	170	100	175	2369	2519	2572	-2431	
180	100	135	-2510	2238	2193	-2443	180	100	180	2436	2528	2453	-2460	
190	100	139	-2484	2208	2244	-2392	190	100	185	2462	2530	2344	-2501	
200	100	142	-2474	2230	2311	-2333	200	200	190	2452	2525	2396	-2518	
210	200	145	-2527	2276	2350	-2358	210	200	193	2449	2536	2421	-2519	
220	200	147	-2551	2301	2399	-2389	220	200	196	2398	2562	2474	-2494	
230	200	149	-2535	2269	2306	-2448	230	200	198	2405	2564	2515	-2488	
240	200	150	-2505	2223	2232	-2487	240	200	200	2433	2520	2417	-2527	
250	200	150	-2439	2224	2285	-2465	250	200	200	2420	2495	2407	-2526	
260	200	150	-2475	2262	2270	-2449	260	200	200	2367	2506	2519	-2496	
270	200	149	-2551	2299	2312	-2411	270	200	199	2298	2470	2466	-2511	
280	200	148	-2553	2308	2386	-2439	280	200	197	2305	2402	2351	-2488	
290	200	146	-2554	2300	2342	-2504	290	200	194	2333	2386	2325	-2426	
300	200	143	-2537	2310	2342	-2474	300	300	191	2338	2408	2320	-2436	
310	300	140	-2533	2333	2404	-2474	310	300	186	2327	2424	2351	-2483	
320	300	137	-2573	2328	2409	-2518	320	300	182	2305	2430	2349	-2496	
330	300	132	-2598	2303	2355	-2478	330	300	176	2332	2423	2340	-2434	
340	300	128	-2604	2306	2348	-2365	340	300	170	2360	2424	2376	-2428	
350	300	123	-2598	2314	2379	-2337	350	300	163	2361	2463	2380	-2483	
360	300	117	-2559	2316	2345	-2456	360	300	155	2366	2492	2444	-2464	
370	300	111	-2532	2330	2293	-2516	370	300	147	2366	2456	2483	-2417	
380	300	104	-2572	2333	2263	-2446	380	300	138	2371	2406	2384	-2366	
390	300	97	-2598	2309	2323	-2383	390	300	128	2354	2414	2345	-2367	
400	300	90	-2573	2271	2424	-2412	400	400	119	2345	2466	2402	-2446	
