"TOA5","CR6PerlanScience","CR6","3222","CR6.Std.03.41","CPU:perlan.CR6","39859","Table2"
"TIMESTAMP","RECORD","BattV_Min","BattV_Avg","PTemp_C_Avg","Temp_C_Avg"
"TS","RN","Volts","Volts","Deg C","Deg C"
"","","Min","Avg","Avg","Avg"
"2018-09-02 11:55:00",0,0,0,7.503,6.705
"2018-09-02 11:56:00",1,0,0,7.548,6.749
"2018-09-02 11:57:00",2,0,0,7.586,6.784
"2018-09-02 11:58:00",3,13.8,13.8,7.904,6.825
"2018-09-02 11:59:00",4,13.8,13.8,7.933,6.841
"2018-09-02 12:00:00",5,13.8,13.8,7.985,6.879
"2018-09-02 12:01:00",6,13.79,13.79,8.04,6.911
"2018-09-02 12:02:00",7,13.79,13.79,8.09,6.942
"2018-09-02 12:03:00",8,13.79,13.79,8.15,6.971
"2018-09-02 12:04:00",9,13.79,13.79,8.19,6.988
"2018-09-02 12:05:00",10,13.79,13.79,8.24,7.009
"2018-09-02 12:06:00",11,13.79,13.8,8.28,7.024
"2018-09-02 12:07:00",12,13.79,13.79,8.32,7.036
"2018-09-02 12:08:00",13,13.79,13.8,8.36,7.05
"2018-09-02 12:09:00",14,13.79,13.8,8.4,7.063
"2018-09-02 12:10:00",15,13.79,13.81,8.43,7.07
"2018-09-02 12:11:00",16,13.78,13.8,8.47,7.079
"2018-09-02 12:12:00",17,13.78,13.82,8.5,7.087
"2018-09-02 12:13:00",18,13.78,13.8,8.53,7.087
"2018-09-02 12:14:00",19,13.78,13.81,8.56,7.077
"2018-09-02 12:15:00",20,13.78,13.8,8.58,7.078
"2018-09-02 12:16:00",21,13.78,13.81,8.61,7.086
"2018-09-02 12:17:00",22,13.78,13.8,8.63,7.092
"2018-09-02 12:18:00",23,13.78,13.81,8.66,7.089
"2018-09-02 12:19:00",24,13.78,13.8,8.68,7.094
"2018-09-02 12:20:00",25,13.78,13.81,8.7,7.104
"2018-09-02 12:21:00",26,13.78,13.8,8.72,7.113
"2018-09-02 12:22:00",27,13.78,13.82,8.75,7.123
"2018-09-02 12:23:00",28,13.78,13.8,8.77,7.144
"2018-09-02 12:24:00",29,13.78,13.81,8.79,7.16
"2018-09-02 12:25:00",30,13.78,13.79,8.81,7.173
"2018-09-02 12:26:00",31,13.78,13.81,8.83,7.192
"2018-09-02 12:27:00",32,13.78,13.79,8.85,7.206
"2018-09-02 12:28:00",33,13.78,13.8,8.87,7.221
"2018-09-02 12:29:00",34,13.78,13.79,8.89,7.234
"2018-09-02 12:30:00",35,13.78,13.81,8.91,7.247
"2018-09-02 12:31:00",36,13.78,13.79,8.93,7.263
"2018-09-02 12:32:00",37,13.78,13.81,8.94,7.286
"2018-09-02 12:33:00",38,13.78,13.79,8.96,7.31
"2018-09-02 12:34:00",39,13.78,13.81,8.98,7.325
"2018-09-02 12:35:00",40,13.78,13.79,8.99,7.33
"2018-09-02 12:36:00",41,13.78,13.8,9.01,7.333
"2018-09-02 12:37:00",42,13.78,13.79,9.02,7.346
"2018-09-02 12:38:00",43,13.78,13.8,9.04,7.357
"2018-09-02 12:39:00",44,13.78,13.79,9.05,7.359
"2018-09-02 12:40:00",45,13.58,13.8,9.06,7.364
"2018-09-02 12:41:00",46,13.5,13.61,9.08,7.378
"2018-09-02 12:42:00",47,13.43,13.56,9.09,7.389
"2018-09-02 12:43:00",48,13.39,13.46,9.11,7.396
"2018-09-02 12:44:00",49,13.27,13.41,9.12,7.408
"2018-09-02 12:45:00",50,13.24,13.31,9.14,7.43
"2018-09-02 12:46:00",51,13.19,13.31,9.16,7.453
"2018-09-02 12:47:00",52,13.15,13.23,9.18,7.467
"2018-09-02 12:48:00",53,13.07,13.22,9.21,7.483
"2018-09-02 12:49:00",54,13.11,13.17,9.23,7.5
"2018-09-02 12:50:00",55,13.03,13.16,9.25,7.518
"2018-09-02 12:51:00",56,12.99,13.07,9.27,7.531
"2018-09-02 12:52:00",57,12.96,13.1,9.3,7.552
"2018-09-02 12:53:00",58,12.92,13,9.32,7.573
"2018-09-02 12:54:00",59,12.88,13.02,9.34,7.593
"2018-09-02 12:55:00",60,12.88,12.97,9.37,7.61
"2018-09-02 12:56:00",61,12.88,13,9.39,7.629
"2018-09-02 12:57:00",62,12.88,12.97,9.41,7.658
"2018-09-02 12:58:00",63,12.91,13.01,9.43,7.677
"2018-09-02 12:59:00",64,12.92,12.98,9.45,7.634
"2018-09-02 13:00:00",65,12.85,13,9.47,7.554
"2018-09-02 13:01:00",66,12.87,12.93,9.48,7.477
"2018-09-02 13:02:00",67,12.84,12.98,9.49,7.409
"2018-09-02 13:03:00",68,12.84,12.93,9.5,7.344
"2018-09-02 13:04:00",69,12.84,12.98,9.5,7.29
"2018-09-02 13:05:00",70,12.85,12.93,9.5,7.25
"2018-09-02 13:06:00",71,12.84,12.98,9.5,7.226
"2018-09-02 13:07:00",72,12.87,12.94,9.5,7.201
"2018-09-02 13:08:00",73,12.84,12.98,9.5,7.173
"2018-09-02 13:09:00",74,12.84,12.93,9.5,7.146
"2018-09-02 13:10:00",75,12.84,12.98,9.49,7.11
"2018-09-02 13:11:00",76,12.88,12.93,9.48,7.086
"2018-09-02 13:12:00",77,12.84,12.98,9.48,7.077
"2018-09-02 13:13:00",78,12.88,12.93,9.47,7.07
"2018-09-02 13:14:00",79,12.84,12.96,9.46,7.067
"2018-09-02 13:15:00",80,12.85,12.95,9.46,7.057
"2018-09-02 13:16:00",81,12.93,13,9.45,7.039
"2018-09-02 13:17:00",82,12.95,12.97,9.44,7.033
"2018-09-02 13:18:00",83,12.92,12.98,9.44,7.027
"2018-09-02 13:19:00",84,12.88,12.96,9.43,7.02
"2018-09-02 13:20:00",85,12.8,12.94,9.43,7.018
"2018-09-02 13:21:00",86,12.8,12.9,9.42,7.018
"2018-09-02 13:22:00",87,12.8,12.94,9.42,7.031
"2018-09-02 13:23:00",88,12.84,12.89,9.41,7.065
"2018-09-02 13:24:00",89,12.8,12.93,9.41,7.108
"2018-09-02 13:25:00",90,12.8,12.88,9.4,7.152
"2018-09-02 13:26:00",91,12.79,12.93,9.4,7.188
"2018-09-02 13:27:00",92,12.8,12.88,9.4,7.208
"2018-09-02 13:28:00",93,12.8,12.94,9.4,7.218
"2018-09-02 13:29:00",94,12.83,12.88,9.39,7.233
"2018-09-02 13:30:00",95,12.83,12.97,9.39,7.262
"2018-09-02 13:31:00",96,12.83,12.92,9.39,7.284
"2018-09-02 13:32:00",97,12.83,12.94,9.38,7.306
"2018-09-02 13:33:00",98,12.88,12.93,9.37,7.309
"2018-09-02 13:34:00",99,12.88,12.96,9.36,7.311
"2018-09-02 13:35:00",100,12.9,12.93,9.36,7.314
"2018-09-02 13:36:00",101,12.79,12.93,9.35,7.324
"2018-09-02 13:37:00",102,12.79,12.88,9.35,7.332
"2018-09-02 13:38:00",103,12.76,12.93,9.35,7.349
"2018-09-02 13:39:00",104,12.76,12.88,9.36,7.361
"2018-09-02 13:40:00",105,12.83,12.94,9.36,7.374
"2018-09-02 13:41:00",106,12.79,12.88,9.37,7.366
"2018-09-02 13:42:00",107,12.8,12.95,9.38,7.355
"2018-09-02 13:43:00",108,12.8,12.9,9.38,7.346
"2018-09-02 13:44:00",109,12.79,12.94,9.39,7.344
"2018-09-02 13:45:00",110,12.79,12.92,9.39,7.379
"2018-09-02 13:46:00",111,12.83,12.94,9.4,7.427
"2018-09-02 13:47:00",112,12.83,12.92,9.41,7.491
"2018-09-02 13:48:00",113,12.84,12.94,9.42,7.543
"2018-09-02 13:49:00",114,12.84,12.89,9.44,7.602
"2018-09-02 13:50:00",115,12.8,12.94,9.46,7.686
"2018-09-02 13:51:00",116,12.84,12.91,9.48,7.746
"2018-09-02 13:52:00",117,12.84,12.95,9.5,7.785
"2018-09-02 13:53:00",118,12.84,12.9,9.53,7.82
"2018-09-02 13:54:00",119,12.83,12.95,9.55,7.884
"2018-09-02 13:55:00",120,12.84,12.9,9.58,7.965
"2018-09-02 13:56:00",121,12.84,12.96,9.61,8.06
"2018-09-02 13:57:00",122,12.84,12.91,9.64,8.17
"2018-09-02 13:58:00",123,12.8,12.94,9.65,8.22
"2018-09-02 13:59:00",124,12.84,12.92,9.65,8.03
"2018-09-02 14:00:00",125,12.86,12.96,9.62,7.643
"2018-09-02 14:01:00",126,12.88,12.93,9.56,7.131
"2018-09-02 14:02:00",127,12.88,12.96,9.48,6.547
"2018-09-02 14:03:00",128,12.84,12.95,9.38,5.92
"2018-09-02 14:04:00",129,12.91,12.97,9.26,5.308
"2018-09-02 14:05:00",130,12.93,12.96,9.11,4.643
"2018-09-02 14:06:00",131,12.85,12.97,8.92,3.899
"2018-09-02 14:07:00",132,12.88,12.94,8.71,3.119
"2018-09-02 14:08:00",133,12.89,12.97,8.47,2.324
"2018-09-02 14:09:00",134,12.92,12.96,8.21,1.519
"2018-09-02 14:10:00",135,12.88,12.96,7.926,0.732
"2018-09-02 14:11:00",136,12.78,12.89,7.619,-0.061
"2018-09-02 14:12:00",137,12.81,12.91,7.287,-0.884
"2018-09-02 14:13:00",138,12.82,12.87,6.924,-1.666
"2018-09-02 14:14:00",139,12.8,12.86,6.527,-2.455
